External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 13 July 2022 18:24:59
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.02
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.019
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.0171
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
134	610.0	2.182	2	3.859453E-001	1.59	1.045709E-008	0.19	5.374124E-002	0.17
135	612.5	2.119	0	3.998319E-001	1.59	1.084287E-008	0.19	5.547352E-002	0.17
136	612.5	2.119	1	3.998010E-001	1.59	1.083933E-008	0.19	5.547726E-002	0.17
137	612.5	2.119	2	3.996794E-001	1.59	1.083569E-008	0.19	5.547043E-002	0.17
138	615.0	2.054	0	4.135666E-001	1.59	1.121997E-008	0.19	5.719316E-002	0.17
139	615.0	2.054	1	4.135675E-001	1.59	1.122317E-008	0.19	5.720261E-002	0.17
140	615.0	2.054	2	4.135656E-001	1.59	1.122444E-008	0.18	5.722320E-002	0.17
141	617.5	1.989	0	4.245541E-001	1.59	1.150681E-008	0.18	5.857787E-002	0.17
142	617.5	1.989	1	4.244321E-001	1.59	1.150642E-008	0.19	5.857787E-002	0.17
143	617.5	1.989	2	4.244921E-001	1.59	1.150867E-008	0.18	5.856720E-002	0.17
144	620.0	1.925	0	4.312063E-001	1.59	1.166793E-008	0.19	5.945889E-002	0.17
145	620.0	1.925	1	4.310852E-001	1.59	1.166776E-008	0.18	5.946282E-002	0.17
146	620.0	1.925	2	4.311453E-001	1.59	1.166759E-008	0.18	5.941002E-002	0.17
147	622.5	1.861	0	4.359686E-001	1.59	1.177918E-008	0.19	6.004534E-002	0.17
148	622.5	1.861	1	4.359686E-001	1.59	1.177741E-008	0.19	6.004664E-002	0.17
149	622.5	1.861	2	4.360306E-001	1.59	1.178112E-008	0.19	6.010309E-002	0.17
150	625.0	1.800	0	4.449424E-001	1.59	1.200162E-008	0.19	6.111469E-002	0.17
151	625.0	1.800	1	4.450034E-001	1.59	1.200377E-008	0.19	6.113772E-002	0.17
152	625.0	1.800	2	4.450644E-001	1.59	1.200427E-008	0.19	6.115672E-002	0.17
153	627.5	1.740	0	4.632540E-001	1.59	1.247323E-008	0.19	6.340738E-002	0.17
154	627.5	1.740	1	4.633779E-001	1.59	1.247340E-008	0.19	6.341066E-002	0.17
155	627.5	1.740	2	4.633760E-001	1.59	1.247620E-008	0.18	6.340055E-002	0.17
156	630.0	1.680	0	4.830342E-001	1.59	1.298576E-008	0.19	6.583235E-002	0.17
157	630.0	1.680	1	4.830933E-001	1.59	1.299095E-008	0.19	6.586493E-002	0.17
158	630.0	1.680	2	4.830933E-001	1.59	1.299045E-008	0.19	6.585604E-002	0.17
159	632.5	1.620	0	5.006759E-001	1.59	1.345958E-008	0.19	6.810015E-002	0.17
160	632.5	1.620	1	5.005530E-001	1.59	1.345836E-008	0.19	6.806673E-002	0.17
161	632.5	1.620	2	5.005520E-001	1.59	1.345561E-008	0.19	6.805373E-002	0.17
162	635.0	1.560	0	5.100776E-001	1.59	1.370803E-008	0.18	6.917380E-002	0.17
163	635.0	1.560	1	5.100147E-001	1.59	1.370765E-008	0.19	6.918804E-002	0.17
164	635.0	1.560	2	5.101977E-001	1.59	1.371069E-008	0.18	6.920835E-002	0.17
165	637.5	1.500	0	5.094057E-001	1.59	1.366822E-008	0.19	6.895505E-002	0.17
166	637.5	1.500	1	5.092208E-001	1.59	1.366704E-008	0.18	6.899382E-002	0.17
167	637.5	1.500	2	5.093438E-001	1.59	1.366931E-008	0.19	6.890600E-002	0.17
168	640.0	1.440	0	5.078170E-001	1.59	1.359137E-008	0.18	6.844622E-002	0.17
169	640.0	1.440	1	5.077579E-001	1.59	1.358905E-008	0.19	6.847532E-002	0.17
170	640.0	1.440	2	5.078189E-001	1.59	1.359082E-008	0.19	6.851332E-002	0.17
171	642.5	1.380	0	5.065361E-001	1.59	1.352963E-008	0.19	6.806692E-002	0.17
172	642.5	1.380	1	5.065381E-001	1.59	1.353178E-008	0.19	6.807806E-002	0.17
173	642.5	1.380	2	5.065962E-001	1.59	1.353127E-008	0.18	6.805924E-002	0.17
174	645.0	1.320	0	5.155709E-001	1.59	1.376350E-008	0.19	6.899249E-002	0.17
175	645.0	1.320	1	5.156309E-001	1.59	1.376548E-008	0.18	6.901319E-002	0.17
176	645.0	1.320	2	5.156319E-001	1.59	1.376758E-008	0.19	6.898249E-002	0.17
177	647.5	1.260	0	5.354093E-001	1.59	1.429332E-008	0.18	7.140070E-002	0.17
178	647.5	1.260	1	5.354083E-001	1.59	1.429167E-008	0.19	7.140332E-002	0.17
179	647.5	1.260	2	5.354693E-001	1.59	1.429150E-008	0.19	7.137262E-002	0.17
180	650.0	1.200	0	5.593371E-001	1.59	1.491146E-008	0.18	7.441979E-002	0.17
181	650.0	1.200	1	5.593981E-001	1.59	1.490883E-008	0.19	7.441922E-002	0.17
182	650.0	1.200	2	5.595820E-001	1.59	1.491651E-008	0.19	7.445862E-002	0.17
183	652.5	1.140	0	5.791764E-001	1.59	1.538982E-008	0.19	7.690839E-002	0.17
184	652.5	1.140	1	5.789934E-001	1.59	1.538346E-008	0.19	7.686083E-002	0.17
185	652.5	1.140	2	5.792384E-001	1.59	1.538927E-008	0.19	7.689960E-002	0.17
186	655.0	1.080	0	5.916278E-001	1.59	1.566764E-008	0.18	7.839075E-002	0.17
187	655.0	1.080	1	5.918747E-001	1.59	1.567042E-008	0.19	7.840047E-002	0.17
188	655.0	1.080	2	5.917508E-001	1.59	1.566937E-008	0.19	7.837530E-002	0.17
189	657.5	1.020	0	6.035312E-001	1.59	1.593528E-008	0.19	7.973867E-002	0.17
190	657.5	1.020	1	6.035312E-001	1.59	1.593787E-008	0.19	7.974558E-002	0.17
191	657.5	1.020	2	6.035941E-001	1.59	1.594174E-008	0.19	7.975000E-002	0.17
192	660.0	0.960	0	6.154356E-001	1.59	1.620938E-008	0.19	8.089507E-002	0.17
193	660.0	0.960	1	6.156795E-001	1.59	1.620880E-008	0.18	8.090528E-002	0.17
194	660.0	0.960	2	6.154956E-001	1.59	1.620383E-008	0.19	8.088889E-002	0.17
195	662.5	0.900	0	6.248363E-001	1.59	1.642754E-008	0.18	8.160003E-002	0.17
196	662.5	0.900	1	6.247763E-001	1.59	1.642356E-008	0.18	8.157877E-002	0.17
197	662.5	0.900	2	6.247753E-001	1.59	1.642543E-008	0.18	8.158363E-002	0.17
198	665.0	0.840	0	6.365548E-001	1.59	1.671543E-008	0.18	8.262622E-002	0.17
199	665.0	0.840	1	6.364948E-001	1.59	1.671256E-008	0.18	8.263726E-002	0.17
200	665.0	0.840	2	6.363728E-001	1.59	1.671045E-008	0.18	8.263858E-002	0.17
201	667.5	0.780	0	6.433919E-001	1.59	1.687351E-008	0.18	8.322821E-002	0.17
202	667.5	0.780	1	6.433309E-001	1.59	1.687385E-008	0.19	8.322202E-002	0.17
203	667.5	0.780	2	6.433928E-001	1.59	1.687164E-008	0.18	8.315790E-002	0.17
204	670.0	0.720	0	6.554792E-001	1.59	1.716571E-008	0.18	8.444715E-002	0.17
205	670.0	0.720	1	6.553563E-001	1.59	1.716604E-008	0.19	8.439847E-002	0.17
206	670.0	0.720	2	6.554182E-001	1.59	1.716781E-008	0.18	8.448871E-002	0.17
207	672.5	0.660	0	6.712872E-001	1.59	1.754850E-008	0.18	8.626976E-002	0.17
208	672.5	0.660	1	6.715941E-001	1.59	1.755304E-008	0.19	8.634753E-002	0.17
209	672.5	0.660	2	6.713501E-001	1.59	1.754917E-008	0.19	8.634884E-002	0.17
210	675.0	0.600	0	6.886238E-001	1.59	1.794521E-008	0.19	8.834304E-002	0.17
211	675.0	0.600	1	6.887477E-001	1.59	1.794908E-008	0.19	8.823294E-002	0.17
212	675.0	0.600	2	6.886848E-001	1.59	1.795052E-008	0.18	8.823782E-002	0.17
213	677.5	0.539	0	7.095630E-001	1.59	1.842787E-008	0.18	9.051432E-002	0.17
214	677.5	0.539	1	7.096859E-001	1.59	1.843471E-008	0.18	9.057086E-002	0.17
215	677.5	0.539	2	7.095010E-001	1.59	1.842964E-008	0.18	9.054707E-002	0.17
216	680.0	0.475	0	7.234801E-001	1.59	1.873509E-008	0.18	9.196176E-002	0.17
217	680.0	0.475	1	7.234811E-001	1.59	1.873356E-008	0.19	9.190034E-002	0.17
218	680.0	0.475	2	7.234191E-001	1.59	1.873078E-008	0.18	9.190034E-002	0.17
219	682.5	0.411	0	7.311130E-001	1.59	1.889991E-008	0.18	9.241472E-002	0.17
220	682.5	0.411	1	7.313551E-001	1.59	1.890379E-008	0.19	9.241968E-002	0.17
221	682.5	0.411	2	7.313541E-001	1.59	1.890345E-008	0.18	9.245235E-002	0.17
222	685.0	0.346	0	7.324549E-001	1.59	1.892201E-008	0.18	9.215759E-002	0.17
223	685.0	0.346	1	7.322700E-001	1.59	1.891450E-008	0.18	9.210722E-002	0.17
224	685.0	0.346	2	7.323939E-001	1.59	1.891838E-008	0.18	9.212126E-002	0.17
225	687.5	0.281	0	7.162761E-001	1.59	1.848819E-008	0.18	8.972278E-002	0.17
226	687.5	0.281	1	7.162161E-001	1.59	1.848742E-008	0.19	8.969404E-002	0.17
227	687.5	0.281	2	7.162780E-001	1.59	1.849106E-008	0.19	8.970781E-002	0.17
228	690.0	0.218	0	6.939351E-001	1.59	1.789164E-008	0.19	8.666486E-002	0.17
229	690.0	0.218	1	6.939351E-001	1.59	1.789130E-008	0.18	8.662862E-002	0.17
230	690.0	0.218	2	6.938131E-001	1.59	1.789130E-008	0.18	8.663350E-002	0.17
231	692.5	0.158	0	6.886257E-001	1.59	1.771476E-008	0.18	8.564268E-002	0.17
232	692.5	0.158	1	6.886229E-001	1.59	1.771830E-008	0.18	8.573807E-002	0.17
233	692.5	0.158	2	6.883799E-001	1.59	1.771222E-008	0.19	8.573807E-002	0.17
234	695.0	0.101	0	7.110259E-001	1.59	1.825520E-008	0.18	8.812605E-002	0.17
235	695.0	0.101	1	7.112098E-001	1.59	1.825917E-008	0.18	8.814365E-002	0.17
236	695.0	0.101	2	7.110869E-001	1.59	1.825343E-008	0.18	8.801953E-002	0.17
237	697.5	0.048	0	7.497896E-001	1.59	1.923134E-008	0.19	9.232681E-002	0.17
238	697.5	0.048	1	7.497906E-001	1.59	1.923167E-008	0.19	9.229677E-002	0.17
239	697.5	0.048	2	7.497296E-001	1.59	1.922947E-008	0.19	9.229939E-002	0.17
240	700.0	0.000	0	7.830572E-001	1.59	2.007679E-008	0.18	9.567333E-002	0.17
241	700.0	0.000	1	7.829962E-001	1.59	2.007292E-008	0.18	9.567464E-002	0.17
242	700.0	0.000	2	7.829352E-001	1.59	2.007225E-008	0.18	9.566585E-002	0.17
243	702.5	-0.042	0	8.060091E-001	1.59	2.066550E-008	0.19	9.768522E-002	0.17
244	702.5	-0.042	1	8.061321E-001	1.59	2.066694E-008	0.18	9.769401E-002	0.17
245	702.5	-0.042	2	8.060091E-001	1.59	2.066550E-008	0.19	9.770149E-002	0.17
246	705.0	-0.079	0	8.191963E-001	1.59	2.101868E-008	0.18	9.848030E-002	0.17
247	705.0	-0.079	1	8.193793E-001	1.59	2.102256E-008	0.19	9.848422E-002	0.17
248	705.0	-0.079	2	8.193173E-001	1.59	2.102189E-008	0.18	9.848422E-002	0.17
249	707.5	-0.112	0	8.270702E-001	1.59	2.125765E-008	0.19	9.874145E-002	0.17
250	707.5	-0.112	1	8.273142E-001	1.59	2.126549E-008	0.19	9.875250E-002	0.17
251	707.5	-0.112	2	8.272542E-001	1.59	2.126128E-008	0.18	9.876627E-002	0.17
252	710.0	-0.142	0	8.211500E-001	1.59	2.115634E-008	0.19	9.748583E-002	0.17
253	710.0	-0.142	1	8.213320E-001	1.59	2.116175E-008	0.19	9.752206E-002	0.17
254	710.0	-0.142	2	8.213940E-001	1.59	2.115954E-008	0.19	9.750577E-002	0.17
255	712.5	-0.169	0	8.033854E-001	1.59	2.074437E-008	0.18	9.481161E-002	0.17
256	712.5	-0.169	1	8.032024E-001	1.59	2.074107E-008	0.18	9.476020E-002	0.17
257	712.5	-0.169	2	8.030194E-001	1.59	2.073720E-008	0.18	9.475533E-002	0.17
258	715.0	-0.194	0	7.746972E-001	1.59	2.003614E-008	0.18	9.087937E-002	0.17
259	715.0	-0.194	1	7.744513E-001	1.59	2.003714E-008	0.19	9.090063E-002	0.17
260	715.0	-0.194	2	7.746362E-001	1.59	2.004188E-008	0.19	9.093460E-002	0.17
261	717.5	-0.219	0	7.349585E-001	1.59	1.902762E-008	0.18	8.568902E-002	0.17
262	717.5	-0.219	1	7.349575E-001	1.59	1.902939E-008	0.18	8.569163E-002	0.17
263	717.5	-0.219	2	7.350185E-001	1.59	1.902872E-008	0.18	8.568414E-002	0.17
264	720.0	-0.245	0	7.002261E-001	1.59	1.813390E-008	0.19	8.103960E-002	0.17
265	720.0	-0.245	1	6.998602E-001	1.59	1.812075E-008	0.18	8.099673E-002	0.17
266	720.0	-0.245	2	6.998592E-001	1.59	1.812462E-008	0.19	8.100552E-002	0.17
267	722.5	-0.271	0	6.648219E-001	1.59	1.723090E-008	0.19	7.633842E-002	0.17
268	722.5	-0.271	1	6.645769E-001	1.59	1.722703E-008	0.18	7.632345E-002	0.17
269	722.5	-0.271	2	6.647609E-001	1.59	1.723200E-008	0.18	7.635835E-002	0.17
270	725.0	-0.300	0	6.361937E-001	1.59	1.652951E-008	0.19	7.244619E-002	0.17
271	725.0	-0.300	1	6.361917E-001	1.59	1.652917E-008	0.18	7.244253E-002	0.17
272	725.0	-0.300	2	6.363747E-001	1.59	1.653525E-008	0.19	7.245498E-002	0.17
273	727.5	-0.329	0	6.387573E-001	1.59	1.664440E-008	0.19	7.207888E-002	0.17
274	727.5	-0.329	1	6.386963E-001	1.59	1.664550E-008	0.18	7.203993E-002	0.17
275	727.5	-0.329	2	6.385114E-001	1.59	1.664019E-008	0.18	7.203114E-002	0.17
276	730.0	-0.358	0	6.664087E-001	1.59	1.741572E-008	0.18	7.452462E-002	0.17
277	730.0	-0.358	1	6.664697E-001	1.59	1.741902E-008	0.18	7.455110E-002	0.17
278	730.0	-0.358	2	6.668366E-001	1.59	1.742610E-008	0.18	7.454586E-002	0.17
279	732.5	-0.385	0	6.794719E-001	1.59	1.779708E-008	0.19	7.529986E-002	0.17
280	732.5	-0.385	1	6.796558E-001	1.59	1.780071E-008	0.18	7.531484E-002	0.17
281	732.5	-0.385	2	6.794099E-001	1.59	1.779708E-008	0.19	7.526223E-002	0.17
282	735.0	-0.413	0	6.747115E-001	1.59	1.770792E-008	0.18	7.412202E-002	0.17
283	735.0	-0.413	1	6.747725E-001	1.59	1.770825E-008	0.19	7.413970E-002	0.17
284	735.0	-0.413	2	6.747115E-001	1.59	1.770859E-008	0.19	7.413839E-002	0.17
285	737.5	-0.441	0	6.587167E-001	1.59	1.731905E-008	0.18	7.173142E-002	0.17
286	737.5	-0.441	1	6.585957E-001	1.59	1.731972E-008	0.19	7.172524E-002	0.17
287	737.5	-0.441	2	6.585937E-001	1.59	1.731729E-008	0.18	7.168995E-002	0.17
288	740.0	-0.469	0	6.128768E-001	1.59	1.613988E-008	0.19	6.606946E-002	0.17
289	740.0	-0.469	1	6.127538E-001	1.59	1.613533E-008	0.19	6.606066E-002	0.17
290	740.0	-0.469	2	6.128148E-001	1.59	1.613677E-008	0.18	6.604700E-002	0.17
291	742.5	-0.499	0	5.643463E-001	1.59	1.486944E-008	0.19	6.010637E-002	0.17
292	742.5	-0.499	1	5.642863E-001	1.59	1.486767E-008	0.19	6.019164E-002	0.17
293	742.5	-0.499	2	5.642243E-001	1.59	1.486767E-008	0.19	6.019164E-002	0.17
294	745.0	-0.530	0	5.070280E-001	1.59	1.335430E-008	0.19	5.353746E-002	0.17
295	745.0	-0.530	1	5.069060E-001	1.59	1.335033E-008	0.19	5.351631E-002	0.17
296	745.0	-0.530	2	5.068450E-001	1.59	1.335363E-008	0.18	5.353128E-002	0.17
297	747.5	-0.564	0	4.537961E-001	1.59	1.195018E-008	0.18	4.746542E-002	0.17
298	747.5	-0.564	1	4.537341E-001	1.59	1.194874E-008	0.18	4.748181E-002	0.17
299	747.5	-0.564	2	4.536741E-001	1.59	1.194544E-008	0.19	4.747291E-002	0.17
300	750.0	-0.600	0	4.208316E-001	1.59	1.108252E-008	0.18	4.360848E-002	0.17
301	750.0	-0.600	1	4.204666E-001	1.59	1.107922E-008	0.18	4.358723E-002	0.17
302	750.0	-0.600	2	4.204656E-001	1.59	1.107922E-008	0.18	4.357084E-002	0.17
303	752.5	-0.638	0	3.941581E-001	1.59	1.039639E-008	0.18	4.040378E-002	0.17
304	752.5	-0.638	1	3.942191E-001	1.59	1.040036E-008	0.19	4.042006E-002	0.17
305	752.5	-0.638	2	3.942181E-001	1.59	1.039969E-008	0.18	4.044131E-002	0.17
306	755.0	-0.678	0	3.811549E-001	1.59	1.007037E-008	0.18	3.869294E-002	0.17
307	755.0	-0.678	1	3.811549E-001	1.59	1.007071E-008	0.18	3.868414E-002	0.17
308	755.0	-0.678	2	3.811549E-001	1.59	1.007216E-008	0.18	3.866907E-002	0.17
309	757.5	-0.719	0	3.553943E-001	1.59	9.389318E-009	0.18	3.569997E-002	0.17
310	757.5	-0.719	1	3.550884E-001	1.59	9.385406E-009	0.18	3.568631E-002	0.17
311	757.5	-0.719	2	3.550884E-001	1.59	9.385406E-009	0.18	3.567751E-002	0.17
312	760.0	-0.761	0	3.221868E-001	1.59	8.512386E-009	0.18	3.206001E-002	0.17
313	760.0	-0.761	1	3.221258E-001	1.59	8.508139E-009	0.18	3.206001E-002	0.17
314	760.0	-0.761	2	3.220038E-001	1.59	8.506684E-009	0.18	3.205252E-002	0.17
315	762.5	-0.804	0	2.829980E-001	1.59	7.472064E-009	0.18	2.790193E-002	0.17
316	762.5	-0.804	1	2.829980E-001	1.59	7.473853E-009	0.18	2.790951E-002	0.17
317	762.5	-0.804	2	2.829370E-001	1.59	7.469941E-009	0.18	2.790951E-002	0.17
318	765.0	-0.848	0	2.451491E-001	1.59	6.472436E-009	0.18	2.394333E-002	0.17
319	765.0	-0.848	1	2.451501E-001	1.59	6.470981E-009	0.18	2.393715E-002	0.17
320	765.0	-0.848	2	2.451491E-001	1.59	6.470647E-009	0.18	2.394464E-002	0.17
321	767.5	-0.893	0	2.148722E-001	1.59	5.661884E-009	0.18	2.079254E-002	0.17
322	767.5	-0.893	1	2.149332E-001	1.59	5.663997E-009	0.18	2.080761E-002	0.17
323	767.5	-0.893	2	2.149342E-001	1.59	5.665453E-009	0.18	2.080761E-002	0.17
324	770.0	-0.938	0	1.831294E-001	1.59	4.814225E-009	0.18	1.755143E-002	0.17
325	770.0	-0.938	1	1.830675E-001	1.59	4.810646E-009	0.18	1.754020E-002	0.17
326	770.0	-0.938	2	1.831294E-001	1.59	4.813893E-009	0.18	1.754834E-002	0.17
327	772.5	-0.985	0	1.609724E-001	1.59	4.219090E-009	0.18	1.524039E-002	0.17
328	772.5	-0.985	1	1.609104E-001	1.59	4.218424E-009	0.18	1.523225E-002	0.17
329	772.5	-0.985	2	1.608494E-001	1.59	4.218424E-009	0.18	1.522531E-002	0.17
330	775.0	-1.031	0	1.505948E-001	1.59	3.936170E-009	0.18	1.409774E-002	0.17
331	775.0	-1.031	1	1.505948E-001	1.59	3.936731E-009	0.18	1.410148E-002	0.17
332	775.0	-1.031	2	1.505938E-001	1.59	3.938687E-009	0.18	1.410083E-002	0.17
333	777.5	-1.078	0	1.363097E-001	1.59	3.556407E-009	0.18	1.258684E-002	0.17
334	777.5	-1.078	1	1.363087E-001	1.59	3.554285E-009	0.18	1.258310E-002	0.17
335	777.5	-1.078	2	1.363097E-001	1.59	3.554452E-009	0.18	1.258001E-002	0.17
336	780.0	-1.126	0	1.385074E-001	1.59	3.598706E-009	0.18	1.261006E-002	0.17
337	780.0	-1.126	1	1.385074E-001	1.59	3.601390E-009	0.18	1.262204E-002	0.17
338	780.0	-1.126	2	1.385684E-001	1.59	3.605301E-009	0.18	1.262579E-002	0.17
