External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:49:36
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.4989
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
168	640.0	1.440	0	5.679819E-001	1.81	1.471353E-008	0.26	9.321103E-002	0.25
169	640.0	1.440	1	5.679371E-001	1.81	1.470982E-008	0.26	9.320170E-002	0.25
170	640.0	1.440	2	5.679819E-001	1.81	1.471203E-008	0.26	9.321840E-002	0.25
171	642.5	1.380	0	5.699949E-001	1.81	1.471979E-008	0.26	9.319069E-002	0.25
172	642.5	1.380	1	5.696697E-001	1.81	1.471741E-008	0.26	9.316663E-002	0.25
173	642.5	1.380	2	5.698475E-001	1.81	1.472232E-008	0.26	9.318697E-002	0.25
174	645.0	1.320	0	5.838808E-001	1.81	1.502238E-008	0.26	9.502989E-002	0.25
175	645.0	1.320	1	5.838205E-001	1.81	1.501977E-008	0.26	9.500779E-002	0.25
176	645.0	1.320	2	5.838350E-001	1.81	1.502159E-008	0.26	9.502077E-002	0.25
177	647.5	1.260	0	6.057452E-001	1.81	1.553406E-008	0.26	9.813494E-002	0.25
178	647.5	1.260	1	6.057452E-001	1.81	1.553050E-008	0.26	9.810351E-002	0.25
179	647.5	1.260	2	6.057307E-001	1.81	1.553295E-008	0.26	9.810713E-002	0.25
180	650.0	1.200	0	6.296819E-001	1.81	1.610318E-008	0.26	1.014713E-001	0.25
181	650.0	1.200	1	6.299334E-001	1.81	1.609377E-008	0.26	1.014916E-001	0.25
182	650.0	1.200	2	6.300374E-001	1.81	1.610035E-008	0.26	1.015360E-001	0.25
183	652.5	1.140	0	6.480378E-001	1.81	1.654831E-008	0.26	1.039004E-001	0.25
184	652.5	1.140	1	6.481271E-001	1.81	1.654863E-008	0.26	1.038899E-001	0.25
185	652.5	1.140	2	6.481873E-001	1.81	1.655004E-008	0.26	1.038955E-001	0.25
186	655.0	1.080	0	6.576314E-001	1.81	1.679313E-008	0.26	1.050051E-001	0.25
187	655.0	1.080	1	6.576906E-001	1.81	1.679797E-008	0.26	1.050187E-001	0.25
188	655.0	1.080	2	6.574536E-001	1.81	1.678918E-008	0.26	1.049976E-001	0.25
189	657.5	1.020	0	6.658470E-001	1.81	1.699390E-008	0.26	1.059938E-001	0.25
190	657.5	1.020	1	6.659352E-001	1.81	1.699738E-008	0.26	1.060044E-001	0.25
191	657.5	1.020	2	6.657732E-001	1.81	1.699296E-008	0.26	1.059697E-001	0.25
192	660.0	0.960	0	6.724047E-001	1.81	1.711608E-008	0.26	1.066583E-001	0.25
193	660.0	0.960	1	6.724640E-001	1.81	1.711829E-008	0.26	1.066787E-001	0.25
194	660.0	0.960	2	6.724640E-001	1.81	1.712177E-008	0.26	1.066982E-001	0.25
195	662.5	0.900	0	6.774380E-001	1.81	1.717353E-008	0.26	1.070761E-001	0.25
196	662.5	0.900	1	6.774235E-001	1.81	1.717169E-008	0.26	1.070646E-001	0.25
197	662.5	0.900	2	6.776750E-001	1.81	1.717653E-008	0.26	1.070947E-001	0.25
198	665.0	0.840	0	6.846476E-001	1.81	1.727450E-008	0.26	1.077796E-001	0.25
199	665.0	0.840	1	6.848398E-001	1.81	1.727356E-008	0.26	1.077427E-001	0.25
200	665.0	0.840	2	6.847661E-001	1.81	1.726998E-008	0.26	1.077254E-001	0.25
201	667.5	0.780	0	6.872821E-001	1.81	1.726303E-008	0.26	1.075966E-001	0.25
202	667.5	0.780	1	6.874296E-001	1.81	1.726698E-008	0.26	1.076073E-001	0.25
203	667.5	0.780	2	6.874151E-001	1.81	1.726619E-008	0.26	1.076052E-001	0.25
204	670.0	0.720	0	6.980437E-001	1.81	1.748759E-008	0.26	1.086249E-001	0.25
205	670.0	0.720	1	6.980595E-001	1.81	1.748839E-008	0.26	1.086212E-001	0.25
206	670.0	0.720	2	6.980147E-001	1.81	1.748759E-008	0.26	1.086289E-001	0.25
207	672.5	0.660	0	7.115898E-001	1.81	1.781680E-008	0.26	1.100963E-001	0.25
208	672.5	0.660	1	7.114568E-001	1.81	1.781680E-008	0.26	1.100944E-001	0.25
209	672.5	0.660	2	7.115305E-001	1.81	1.781449E-008	0.26	1.100625E-001	0.25
210	675.0	0.600	0	7.291622E-001	1.81	1.824688E-008	0.26	1.121295E-001	0.25
211	675.0	0.600	1	7.290726E-001	1.81	1.824204E-008	0.26	1.121035E-001	0.25
212	675.0	0.600	2	7.290437E-001	1.81	1.824388E-008	0.26	1.121038E-001	0.25
213	677.5	0.539	0	7.494268E-001	1.81	1.872831E-008	0.26	1.146274E-001	0.25
214	677.5	0.539	1	7.496046E-001	1.81	1.873014E-008	0.26	1.146478E-001	0.25
215	677.5	0.539	2	7.493386E-001	1.81	1.872530E-008	0.26	1.146110E-001	0.25
216	680.0	0.475	0	7.643042E-001	1.81	1.905394E-008	0.26	1.162722E-001	0.25
217	680.0	0.475	1	7.642898E-001	1.81	1.905347E-008	0.26	1.163057E-001	0.25
218	680.0	0.475	2	7.644974E-001	1.81	1.906099E-008	0.26	1.163444E-001	0.25
219	682.5	0.411	0	7.700192E-001	1.81	1.913418E-008	0.26	1.165039E-001	0.25
220	682.5	0.411	1	7.700192E-001	1.81	1.913560E-008	0.26	1.164857E-001	0.25
221	682.5	0.411	2	7.700337E-001	1.81	1.913560E-008	0.26	1.165058E-001	0.25
222	685.0	0.346	0	7.704933E-001	1.81	1.909098E-008	0.26	1.158695E-001	0.25
223	685.0	0.346	1	7.703445E-001	1.81	1.908577E-008	0.26	1.158540E-001	0.25
224	685.0	0.346	2	7.703589E-001	1.81	1.908624E-008	0.26	1.158376E-001	0.25
225	687.5	0.281	0	7.538096E-001	1.81	1.863970E-008	0.26	1.126626E-001	0.25
226	687.5	0.281	1	7.536766E-001	1.81	1.863923E-008	0.26	1.126812E-001	0.25
227	687.5	0.281	2	7.537504E-001	1.81	1.864017E-008	0.26	1.126753E-001	0.25
228	690.0	0.218	0	7.313227E-001	1.81	1.807540E-008	0.26	1.087120E-001	0.25
229	690.0	0.218	1	7.313516E-001	1.81	1.807136E-008	0.26	1.086770E-001	0.25
230	690.0	0.218	2	7.313675E-001	1.81	1.807262E-008	0.26	1.086956E-001	0.25
231	692.5	0.158	0	7.307604E-001	1.81	1.805720E-008	0.26	1.079806E-001	0.25
232	692.5	0.158	1	7.307012E-001	1.81	1.805941E-008	0.26	1.079884E-001	0.25
233	692.5	0.158	2	7.306867E-001	1.81	1.805847E-008	0.26	1.080029E-001	0.25
234	695.0	0.101	0	7.595092E-001	1.81	1.877287E-008	0.26	1.116209E-001	0.25
235	695.0	0.101	1	7.595237E-001	1.81	1.877240E-008	0.26	1.116451E-001	0.25
236	695.0	0.101	2	7.595974E-001	1.81	1.877602E-008	0.26	1.116333E-001	0.25
237	697.5	0.048	0	8.004255E-001	1.81	1.977318E-008	0.26	1.169723E-001	0.25
238	697.5	0.048	1	8.003807E-001	1.81	1.977102E-008	0.26	1.169593E-001	0.25
239	697.5	0.048	2	8.004992E-001	1.81	1.977055E-008	0.26	1.169422E-001	0.25
240	700.0	0.000	0	8.283147E-001	1.81	2.041834E-008	0.26	1.203155E-001	0.25
241	700.0	0.000	1	8.282410E-001	1.81	2.041914E-008	0.26	1.203192E-001	0.25
242	700.0	0.000	2	8.284477E-001	1.81	2.042793E-008	0.26	1.203901E-001	0.25
243	702.5	-0.042	0	8.448361E-001	1.81	2.077650E-008	0.26	1.220384E-001	0.25
244	702.5	-0.042	1	8.448361E-001	1.81	2.077523E-008	0.26	1.220257E-001	0.25
245	702.5	-0.042	2	8.447768E-001	1.81	2.077166E-008	0.26	1.220112E-001	0.25
246	705.0	-0.079	0	8.493798E-001	1.81	2.082817E-008	0.26	1.218922E-001	0.25
247	705.0	-0.079	1	8.493061E-001	1.81	2.082643E-008	0.26	1.218828E-001	0.25
248	705.0	-0.079	2	8.493654E-001	1.81	2.082990E-008	0.26	1.219145E-001	0.25
249	707.5	-0.112	0	8.469968E-001	1.81	2.074167E-008	0.26	1.206374E-001	0.25
250	707.5	-0.112	1	8.470850E-001	1.81	2.074214E-008	0.26	1.206194E-001	0.25
251	707.5	-0.112	2	8.470705E-001	1.81	2.074072E-008	0.26	1.206541E-001	0.25
252	710.0	-0.142	0	8.309794E-001	1.81	2.036137E-008	0.26	1.174009E-001	0.25
253	710.0	-0.142	1	8.309054E-001	1.81	2.035521E-008	0.26	1.173901E-001	0.25
254	710.0	-0.142	2	8.310531E-001	1.81	2.036578E-008	0.26	1.174530E-001	0.25
255	712.5	-0.169	0	8.011945E-001	1.81	1.967221E-008	0.26	1.122999E-001	0.25
256	712.5	-0.169	1	8.013422E-001	1.81	1.967522E-008	0.26	1.123426E-001	0.25
257	712.5	-0.169	2	8.015937E-001	1.81	1.968241E-008	0.26	1.123724E-001	0.25
258	715.0	-0.194	0	7.614182E-001	1.81	1.874683E-008	0.26	1.058699E-001	0.25
259	715.0	-0.194	1	7.613589E-001	1.81	1.874730E-008	0.26	1.058737E-001	0.25
260	715.0	-0.194	2	7.614182E-001	1.81	1.874819E-008	0.26	1.058603E-001	0.25
261	717.5	-0.219	0	7.167113E-001	1.81	1.769857E-008	0.26	9.881414E-002	0.25
262	717.5	-0.219	1	7.164150E-001	1.81	1.769547E-008	0.26	9.881965E-002	0.25
263	717.5	-0.219	2	7.166072E-001	1.81	1.769952E-008	0.26	9.883263E-002	0.25
264	720.0	-0.245	0	6.773195E-001	1.81	1.677771E-008	0.26	9.269297E-002	0.25
265	720.0	-0.245	1	6.773932E-001	1.81	1.677945E-008	0.26	9.270410E-002	0.25
266	720.0	-0.245	2	6.772010E-001	1.81	1.677319E-008	0.26	9.267077E-002	0.25
267	722.5	-0.271	0	6.401474E-001	1.81	1.588383E-008	0.26	8.691235E-002	0.25
268	722.5	-0.271	1	6.394374E-001	1.81	1.587410E-008	0.26	8.687157E-002	0.25
269	722.5	-0.271	2	6.393479E-001	1.81	1.587053E-008	0.26	8.686783E-002	0.25
270	725.0	-0.300	0	6.158987E-001	1.81	1.530481E-008	0.26	8.303205E-002	0.25
271	725.0	-0.300	1	6.156328E-001	1.81	1.529682E-008	0.26	8.298940E-002	0.25
272	725.0	-0.300	2	6.158395E-001	1.81	1.530529E-008	0.26	8.303205E-002	0.25
273	727.5	-0.329	0	6.273871E-001	1.81	1.559872E-008	0.26	8.391097E-002	0.25
274	727.5	-0.329	1	6.273278E-001	1.81	1.559420E-008	0.26	8.389052E-002	0.25
275	727.5	-0.329	2	6.271645E-001	1.81	1.559246E-008	0.26	8.386282E-002	0.25
276	730.0	-0.358	0	6.591111E-001	1.81	1.639289E-008	0.26	8.744150E-002	0.25
277	730.0	-0.358	1	6.594956E-001	1.81	1.639731E-008	0.26	8.747482E-002	0.25
278	730.0	-0.358	2	6.595548E-001	1.81	1.639731E-008	0.26	8.747295E-002	0.25
279	732.5	-0.385	0	6.729959E-001	1.81	1.674588E-008	0.26	8.852576E-002	0.25
280	732.5	-0.385	1	6.731882E-001	1.81	1.674772E-008	0.26	8.853884E-002	0.25
281	732.5	-0.385	2	6.734999E-001	1.81	1.675120E-008	0.26	8.854621E-002	0.25
282	735.0	-0.413	0	6.698281E-001	1.81	1.668900E-008	0.26	8.734160E-002	0.25
283	735.0	-0.413	1	6.698281E-001	1.81	1.668947E-008	0.26	8.736942E-002	0.25
284	735.0	-0.413	2	6.698281E-001	1.81	1.668947E-008	0.26	8.735830E-002	0.25
285	737.5	-0.441	0	6.581186E-001	1.81	1.642866E-008	0.26	8.508040E-002	0.25
286	737.5	-0.441	1	6.580738E-001	1.81	1.642777E-008	0.26	8.509889E-002	0.25
287	737.5	-0.441	2	6.581041E-001	1.81	1.642636E-008	0.26	8.507294E-002	0.25
288	740.0	-0.469	0	6.154695E-001	1.81	1.538774E-008	0.26	7.883527E-002	0.25
289	740.0	-0.469	1	6.152180E-001	1.81	1.538600E-008	0.26	7.883900E-002	0.25
290	740.0	-0.469	2	6.153365E-001	1.81	1.538774E-008	0.26	7.885747E-002	0.25
291	742.5	-0.499	0	5.704676E-001	1.81	1.427751E-008	0.26	7.242542E-002	0.25
292	742.5	-0.499	1	5.704084E-001	1.81	1.427625E-008	0.26	7.243654E-002	0.25
293	742.5	-0.499	2	5.704676E-001	1.81	1.427751E-008	0.26	7.244576E-002	0.25
294	745.0	-0.530	0	5.157535E-001	1.81	1.290663E-008	0.26	6.488322E-002	0.25
295	745.0	-0.530	1	5.155612E-001	1.81	1.289958E-008	0.26	6.484617E-002	0.25
296	745.0	-0.530	2	5.152650E-001	1.81	1.289342E-008	0.26	6.481847E-002	0.25
297	747.5	-0.564	0	4.647842E-001	1.81	1.161242E-008	0.26	5.790688E-002	0.25
298	747.5	-0.564	1	4.647394E-001	1.81	1.161115E-008	0.26	5.790688E-002	0.25
299	747.5	-0.564	2	4.649909E-001	1.81	1.161773E-008	0.26	5.794767E-002	0.25
300	750.0	-0.600	0	4.343634E-001	1.81	1.083061E-008	0.26	5.357884E-002	0.25
301	750.0	-0.600	1	4.345109E-001	1.81	1.083329E-008	0.26	5.360095E-002	0.25
302	750.0	-0.600	2	4.344372E-001	1.81	1.083235E-008	0.26	5.360841E-002	0.25
303	752.5	-0.638	0	4.095671E-001	1.81	1.018379E-008	0.26	5.001301E-002	0.25
304	752.5	-0.638	1	4.095816E-001	1.81	1.018285E-008	0.26	5.002237E-002	0.25
305	752.5	-0.638	2	4.097002E-001	1.81	1.018555E-008	0.26	5.001861E-002	0.25
306	755.0	-0.678	0	3.937867E-001	1.81	9.762320E-009	0.26	4.760376E-002	0.25
307	755.0	-0.678	1	3.936682E-001	1.81	9.762792E-009	0.26	4.760937E-002	0.25
308	755.0	-0.678	2	3.935207E-001	1.81	9.758804E-009	0.26	4.758716E-002	0.25
309	757.5	-0.719	0	3.646245E-001	1.81	9.025893E-009	0.26	4.361989E-002	0.25
310	757.5	-0.719	1	3.646838E-001	1.81	9.026364E-009	0.26	4.362914E-002	0.25
311	757.5	-0.719	2	3.647575E-001	1.81	9.030349E-009	0.26	4.363462E-002	0.25
312	760.0	-0.761	0	3.301921E-001	1.81	8.155779E-009	0.26	3.903082E-002	0.25
313	760.0	-0.761	1	3.297618E-001	1.81	8.150505E-009	0.26	3.900861E-002	0.25
314	760.0	-0.761	2	3.298211E-001	1.81	8.151792E-009	0.26	3.900675E-002	0.25
315	762.5	-0.804	0	2.862845E-001	1.81	7.064186E-009	0.26	3.347596E-002	0.25
316	762.5	-0.804	1	2.862107E-001	1.81	7.063714E-009	0.26	3.346859E-002	0.25
317	762.5	-0.804	2	2.862253E-001	1.81	7.064186E-009	0.26	3.346112E-002	0.25
318	765.0	-0.848	0	2.488902E-001	1.81	6.134897E-009	0.26	2.876288E-002	0.25
319	765.0	-0.848	1	2.489494E-001	1.81	6.136646E-009	0.26	2.877025E-002	0.25
320	765.0	-0.848	2	2.489494E-001	1.81	6.136646E-009	0.26	2.877575E-002	0.25
321	767.5	-0.893	0	2.177148E-001	1.81	5.356988E-009	0.26	2.488070E-002	0.25
322	767.5	-0.893	1	2.177148E-001	1.81	5.357458E-009	0.26	2.488807E-002	0.25
323	767.5	-0.893	2	2.177294E-001	1.81	5.356988E-009	0.26	2.488807E-002	0.25
324	770.0	-0.938	0	1.862423E-001	1.81	4.572055E-009	0.26	2.102445E-002	0.25
325	770.0	-0.938	1	1.860500E-001	1.81	4.567608E-009	0.26	2.101699E-002	0.25
326	770.0	-0.938	2	1.860500E-001	1.81	4.569836E-009	0.26	2.102445E-002	0.25
327	772.5	-0.985	0	1.678865E-001	1.81	4.112278E-009	0.26	1.876322E-002	0.25
328	772.5	-0.985	1	1.679458E-001	1.81	4.113566E-009	0.26	1.875954E-002	0.25
329	772.5	-0.985	2	1.679603E-001	1.81	4.115794E-009	0.26	1.876690E-002	0.25
330	775.0	-1.031	0	1.567101E-001	1.81	3.826602E-009	0.26	1.731528E-002	0.25
331	775.0	-1.031	1	1.568431E-001	1.81	3.828360E-009	0.26	1.732359E-002	0.25
332	775.0	-1.031	2	1.567693E-001	1.81	3.827010E-009	0.26	1.731528E-002	0.25
333	777.5	-1.078	0	1.441420E-001	1.81	3.506251E-009	0.26	1.572204E-002	0.25
334	777.5	-1.078	1	1.440828E-001	1.81	3.505137E-009	0.26	1.571467E-002	0.25
335	777.5	-1.078	2	1.441420E-001	1.81	3.506016E-009	0.26	1.572941E-002	0.25
336	780.0	-1.126	0	1.467029E-001	1.81	3.557863E-009	0.26	1.581921E-002	0.25
337	780.0	-1.126	1	1.467766E-001	1.81	3.557627E-009	0.26	1.582196E-002	0.25
338	780.0	-1.126	2	1.467622E-001	1.81	3.559386E-009	0.26	1.582382E-002	0.25
