External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:49:36
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.4989
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
42	535.0	2.513	0	2.762918E-001	1.81	6.681677E-009	0.26	4.365871E-002	0.25
43	535.0	2.513	1	2.761443E-001	1.81	6.678571E-009	0.26	4.363190E-002	0.25
44	535.0	2.513	2	2.760851E-001	1.81	6.673715E-009	0.26	4.360601E-002	0.25
45	537.5	2.550	0	2.330203E-001	1.81	5.707464E-009	0.26	3.738222E-002	0.25
46	537.5	2.550	1	2.329465E-001	1.81	5.705707E-009	0.26	3.738315E-002	0.25
47	537.5	2.550	2	2.330650E-001	1.81	5.706756E-009	0.26	3.738771E-002	0.25
48	540.0	2.587	0	2.211195E-001	1.81	5.498953E-009	0.26	3.603416E-002	0.25
49	540.0	2.587	1	2.210602E-001	1.81	5.497432E-009	0.26	3.604437E-002	0.25
50	540.0	2.587	2	2.211340E-001	1.81	5.499189E-009	0.26	3.604256E-002	0.25
51	542.5	2.623	0	2.305489E-001	1.81	5.829670E-009	0.26	3.816035E-002	0.25
52	542.5	2.623	1	2.306674E-001	1.81	5.833829E-009	0.26	3.818711E-002	0.25
53	542.5	2.623	2	2.306529E-001	1.81	5.834000E-009	0.26	3.818244E-002	0.25
54	545.0	2.654	0	2.575660E-001	1.81	6.656554E-009	0.26	4.338215E-002	0.25
55	545.0	2.654	1	2.574475E-001	1.81	6.654731E-009	0.26	4.337847E-002	0.25
56	545.0	2.654	2	2.575067E-001	1.81	6.652973E-009	0.26	4.336075E-002	0.25
57	547.5	2.681	0	2.555967E-001	1.81	6.676759E-009	0.26	4.349679E-002	0.25
58	547.5	2.681	1	2.556402E-001	1.81	6.677936E-009	0.26	4.349592E-002	0.25
59	547.5	2.681	2	2.556559E-001	1.81	6.679214E-009	0.26	4.351537E-002	0.25
60	550.0	2.700	0	2.190326E-001	1.81	5.669435E-009	0.26	3.727763E-002	0.25
61	550.0	2.700	1	2.190919E-001	1.81	5.673884E-009	0.26	3.730445E-002	0.25
62	550.0	2.700	2	2.191802E-001	1.81	5.672372E-009	0.26	3.729523E-002	0.25
63	552.5	2.714	0	2.022742E-001	1.81	5.208596E-009	0.26	3.451032E-002	0.25
64	552.5	2.714	1	2.020082E-001	1.81	5.205497E-009	0.26	3.450383E-002	0.25
65	552.5	2.714	2	2.021267E-001	1.81	5.206131E-009	0.26	3.450192E-002	0.25
66	555.0	2.724	0	1.971080E-001	1.81	5.081290E-009	0.26	3.380528E-002	0.25
67	555.0	2.724	1	1.971080E-001	1.81	5.081760E-009	0.26	3.380996E-002	0.25
68	555.0	2.724	2	1.971673E-001	1.81	5.083691E-009	0.26	3.382199E-002	0.25
69	557.5	2.732	0	1.941626E-001	1.81	5.022883E-009	0.26	3.347233E-002	0.25
70	557.5	2.732	1	1.942074E-001	1.81	5.025454E-009	0.26	3.347502E-002	0.25
