External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 13 July 2022 18:20:18
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.02
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.019
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.0171
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
196	662.5	0.900	1	6.252013E-001	1.59	1.647713E-008	0.18	8.125882E-002	0.17
197	662.5	0.900	2	6.252004E-001	1.59	1.648067E-008	0.18	8.121370E-002	0.17
198	665.0	0.840	0	6.370447E-001	1.59	1.677144E-008	0.18	8.234382E-002	0.17
199	665.0	0.840	1	6.370447E-001	1.59	1.676580E-008	0.18	8.230628E-002	0.17
200	665.0	0.840	2	6.370447E-001	1.59	1.676646E-008	0.19	8.234157E-002	0.17
201	667.5	0.780	0	6.439428E-001	1.59	1.693272E-008	0.18	8.288084E-002	0.17
202	667.5	0.780	1	6.440647E-001	1.59	1.693516E-008	0.19	8.290826E-002	0.17
203	667.5	0.780	2	6.441238E-001	1.59	1.693626E-008	0.18	8.294712E-002	0.17
204	670.0	0.720	0	6.562121E-001	1.59	1.723564E-008	0.18	8.414124E-002	0.17
205	670.0	0.720	1	6.563351E-001	1.59	1.724262E-008	0.19	8.420404E-002	0.17
206	670.0	0.720	2	6.563351E-001	1.59	1.723664E-008	0.19	8.415406E-002	0.17
207	672.5	0.660	0	6.723870E-001	1.59	1.762120E-008	0.19	8.599754E-002	0.17
208	672.5	0.660	1	6.724480E-001	1.59	1.762484E-008	0.18	8.606419E-002	0.17
209	672.5	0.660	2	6.724480E-001	1.59	1.762297E-008	0.18	8.602402E-002	0.17
210	675.0	0.600	0	6.898456E-001	1.59	1.802442E-008	0.18	8.792929E-002	0.17
211	675.0	0.600	1	6.897847E-001	1.59	1.802231E-008	0.18	8.795185E-002	0.17
212	675.0	0.600	2	6.896026E-001	1.59	1.802078E-008	0.18	8.798320E-002	0.17
213	677.5	0.539	0	7.107829E-001	1.59	1.851071E-008	0.18	9.029247E-002	0.17
214	677.5	0.539	1	7.108439E-001	1.59	1.851459E-008	0.18	9.030614E-002	0.17
215	677.5	0.539	2	7.107829E-001	1.59	1.851215E-008	0.18	9.032870E-002	0.17
216	680.0	0.475	0	7.248239E-001	1.59	1.882214E-008	0.18	9.166212E-002	0.17
217	680.0	0.475	1	7.248840E-001	1.59	1.881640E-008	0.18	9.165951E-002	0.17
218	680.0	0.475	2	7.248830E-001	1.59	1.881784E-008	0.18	9.164574E-002	0.17
219	682.5	0.411	0	7.325759E-001	1.59	1.898510E-008	0.19	9.215496E-002	0.17
220	682.5	0.411	1	7.324530E-001	1.59	1.898123E-008	0.18	9.211863E-002	0.17
221	682.5	0.411	2	7.325149E-001	1.59	1.898400E-008	0.19	9.209973E-002	0.17
222	685.0	0.346	0	7.334908E-001	1.59	1.899581E-008	0.18	9.177482E-002	0.17
223	685.0	0.346	1	7.334308E-001	1.59	1.899581E-008	0.18	9.173991E-002	0.17
224	685.0	0.346	2	7.333698E-001	1.59	1.899979E-008	0.18	9.177614E-002	0.17
225	687.5	0.281	0	7.173159E-001	1.59	1.857447E-008	0.19	8.939704E-002	0.17
226	687.5	0.281	1	7.172540E-001	1.59	1.857026E-008	0.18	8.940190E-002	0.17
227	687.5	0.281	2	7.173150E-001	1.59	1.857481E-008	0.19	8.944309E-002	0.17
228	690.0	0.218	0	6.950340E-001	1.59	1.797262E-008	0.18	8.616584E-002	0.17
229	690.0	0.218	1	6.949129E-001	1.59	1.797448E-008	0.18	8.643281E-002	0.17
230	690.0	0.218	2	6.951569E-001	1.59	1.797836E-008	0.18	8.638909E-002	0.17
231	692.5	0.158	0	6.901506E-001	1.59	1.780932E-008	0.18	8.541063E-002	0.17
232	692.5	0.158	1	6.900286E-001	1.59	1.780966E-008	0.18	8.541943E-002	0.17
233	692.5	0.158	2	6.899686E-001	1.59	1.780966E-008	0.18	8.537300E-002	0.17
234	695.0	0.101	0	7.129186E-001	1.59	1.836832E-008	0.18	8.780517E-002	0.17
235	695.0	0.101	1	7.129195E-001	1.59	1.836445E-008	0.18	8.779365E-002	0.17
236	695.0	0.101	2	7.131035E-001	1.59	1.836588E-008	0.18	8.775612E-002	0.17
237	697.5	0.048	0	7.519873E-001	1.59	1.935153E-008	0.19	9.195427E-002	0.17
238	697.5	0.048	1	7.520483E-001	1.59	1.935330E-008	0.18	9.196672E-002	0.17
239	697.5	0.048	2	7.519873E-001	1.59	1.935330E-008	0.18	9.196437E-002	0.17
240	700.0	0.000	0	7.849509E-001	1.59	2.019742E-008	0.19	9.522787E-002	0.17
241	700.0	0.000	1	7.853159E-001	1.59	2.020206E-008	0.18	9.524817E-002	0.17
242	700.0	0.000	2	7.852549E-001	1.59	2.020096E-008	0.19	9.532073E-002	0.17
243	702.5	-0.042	0	8.082678E-001	1.59	2.080392E-008	0.18	9.719986E-002	0.17
244	702.5	-0.042	1	8.083888E-001	1.59	2.080392E-008	0.18	9.713087E-002	0.17
245	702.5	-0.042	2	8.083907E-001	1.59	2.080426E-008	0.19	9.715081E-002	0.17
246	705.0	-0.079	0	8.221240E-001	1.59	2.118174E-008	0.18	9.797894E-002	0.17
247	705.0	-0.079	1	8.221869E-001	1.59	2.118384E-008	0.19	9.805149E-002	0.17
248	705.0	-0.079	2	8.221859E-001	1.59	2.118561E-008	0.19	9.809306E-002	0.17
249	707.5	-0.112	0	8.294538E-001	1.59	2.141539E-008	0.19	9.816465E-002	0.17
250	707.5	-0.112	1	8.293889E-001	1.59	2.141142E-008	0.19	9.811429E-002	0.17
251	707.5	-0.112	2	8.294509E-001	1.59	2.141286E-008	0.18	9.804756E-002	0.17
252	710.0	-0.142	0	8.231628E-001	1.59	2.130514E-008	0.18	9.657400E-002	0.17
253	710.0	-0.142	1	8.230418E-001	1.59	2.129840E-008	0.19	9.659882E-002	0.17
254	710.0	-0.142	2	8.228597E-001	1.59	2.129620E-008	0.18	9.658816E-002	0.17
255	712.5	-0.169	0	8.041803E-001	1.59	2.087065E-008	0.18	9.374196E-002	0.17
256	712.5	-0.169	1	8.041803E-001	1.59	2.087242E-008	0.18	9.372558E-002	0.17
257	712.5	-0.169	2	8.041803E-001	1.59	2.086701E-008	0.18	9.366381E-002	0.17
258	715.0	-0.194	0	7.757351E-001	1.59	2.017489E-008	0.18	8.969013E-002	0.17
259	715.0	-0.194	1	7.756750E-001	1.59	2.017523E-008	0.19	8.970162E-002	0.17
260	715.0	-0.194	2	7.756131E-001	1.59	2.017556E-008	0.19	8.970688E-002	0.17
261	717.5	-0.219	0	7.358753E-001	1.59	1.916738E-008	0.19	8.435729E-002	0.17
262	717.5	-0.219	1	7.359964E-001	1.59	1.916959E-008	0.18	8.439584E-002	0.17
263	717.5	-0.219	2	7.358753E-001	1.59	1.916671E-008	0.19	8.435335E-002	0.17
264	720.0	-0.245	0	7.005321E-001	1.59	1.826128E-008	0.18	7.956071E-002	0.17
265	720.0	-0.245	1	7.004701E-001	1.59	1.825841E-008	0.19	7.955417E-002	0.17
266	720.0	-0.245	2	7.007141E-001	1.59	1.826769E-008	0.19	7.957841E-002	0.17
267	722.5	-0.271	0	6.651878E-001	1.59	1.736368E-008	0.18	7.476163E-002	0.17
268	722.5	-0.271	1	6.649438E-001	1.59	1.735894E-008	0.19	7.473148E-002	0.17
269	722.5	-0.271	2	6.651268E-001	1.59	1.736048E-008	0.19	7.477792E-002	0.17
270	725.0	-0.300	0	6.364376E-001	1.59	1.665511E-008	0.18	7.078206E-002	0.17
271	725.0	-0.300	1	6.363747E-001	1.59	1.665157E-008	0.19	7.083299E-002	0.17
272	725.0	-0.300	2	6.361927E-001	1.59	1.664650E-008	0.19	7.084544E-002	0.17
273	727.5	-0.329	0	6.383294E-001	1.59	1.675599E-008	0.19	7.029511E-002	0.17
274	727.5	-0.329	1	6.382674E-001	1.59	1.675685E-008	0.18	7.020396E-002	0.17
275	727.5	-0.329	2	6.385134E-001	1.59	1.676426E-008	0.18	7.028528E-002	0.17
276	730.0	-0.358	0	6.671406E-001	1.59	1.756409E-008	0.19	7.277362E-002	0.17
277	730.0	-0.358	1	6.668356E-001	1.59	1.755060E-008	0.18	7.268339E-002	0.17
278	730.0	-0.358	2	6.667756E-001	1.59	1.755127E-008	0.19	7.259783E-002	0.17
279	732.5	-0.385	0	6.793499E-001	1.59	1.791197E-008	0.19	7.346837E-002	0.17
280	732.5	-0.385	1	6.792889E-001	1.59	1.791163E-008	0.18	7.335828E-002	0.17
281	732.5	-0.385	2	6.793499E-001	1.59	1.791163E-008	0.18	7.342465E-002	0.17
282	735.0	-0.413	0	6.744675E-001	1.59	1.781420E-008	0.19	7.232498E-002	0.17
283	735.0	-0.413	1	6.744675E-001	1.59	1.781066E-008	0.19	7.239358E-002	0.17
284	735.0	-0.413	2	6.745895E-001	1.59	1.781630E-008	0.19	7.240145E-002	0.17
285	737.5	-0.441	0	6.588406E-001	1.59	1.742113E-008	0.18	7.021995E-002	0.17
286	737.5	-0.441	1	6.586557E-001	1.59	1.741936E-008	0.18	7.020226E-002	0.17
287	737.5	-0.441	2	6.585957E-001	1.59	1.741649E-008	0.18	7.017980E-002	0.17
288	740.0	-0.469	0	6.129378E-001	1.59	1.621765E-008	0.19	6.484789E-002	0.17
289	740.0	-0.469	1	6.129368E-001	1.59	1.621665E-008	0.19	6.484041E-002	0.17
290	740.0	-0.469	2	6.129978E-001	1.59	1.621842E-008	0.18	6.485277E-002	0.17
291	742.5	-0.499	0	5.647732E-001	1.59	1.494047E-008	0.19	5.923836E-002	0.17
292	742.5	-0.499	1	5.647732E-001	1.59	1.494157E-008	0.19	5.923704E-002	0.17
293	742.5	-0.499	2	5.647742E-001	1.59	1.494014E-008	0.19	5.924230E-002	0.17
294	745.0	-0.530	0	5.074539E-001	1.59	1.341849E-008	0.19	5.284010E-002	0.17
295	745.0	-0.530	1	5.073339E-001	1.59	1.341461E-008	0.18	5.284141E-002	0.17
296	745.0	-0.530	2	5.072719E-001	1.59	1.341208E-008	0.19	5.280388E-002	0.17
297	747.5	-0.564	0	4.541001E-001	1.59	1.200112E-008	0.19	4.685333E-002	0.17
298	747.5	-0.564	1	4.541611E-001	1.59	1.200078E-008	0.18	4.685203E-002	0.17
299	747.5	-0.564	2	4.541621E-001	1.59	1.200112E-008	0.19	4.683957E-002	0.17
300	750.0	-0.600	0	4.207096E-001	1.59	1.111744E-008	0.18	4.311302E-002	0.17
301	750.0	-0.600	1	4.205276E-001	1.59	1.111424E-008	0.18	4.309046E-002	0.17
302	750.0	-0.600	2	4.205276E-001	1.59	1.111424E-008	0.18	4.308297E-002	0.17
303	752.5	-0.638	0	3.942801E-001	1.59	1.043140E-008	0.18	3.999097E-002	0.17
304	752.5	-0.638	1	3.942191E-001	1.59	1.042786E-008	0.18	4.002102E-002	0.17
305	752.5	-0.638	2	3.941581E-001	1.59	1.042786E-008	0.18	3.998349E-002	0.17
306	755.0	-0.678	0	3.811539E-001	1.59	1.009607E-008	0.18	3.831159E-002	0.17
307	755.0	-0.678	1	3.811539E-001	1.59	1.009786E-008	0.18	3.828641E-002	0.17
308	755.0	-0.678	2	3.811549E-001	1.59	1.009819E-008	0.18	3.828772E-002	0.17
309	757.5	-0.719	0	3.551494E-001	1.59	9.409656E-009	0.18	3.538396E-002	0.17
310	757.5	-0.719	1	3.552104E-001	1.59	9.413568E-009	0.18	3.540034E-002	0.17
311	757.5	-0.719	2	3.553343E-001	1.59	9.415013E-009	0.18	3.540783E-002	0.17
312	760.0	-0.761	0	3.223098E-001	1.59	8.536292E-009	0.18	3.182796E-002	0.17
313	760.0	-0.761	1	3.222478E-001	1.59	8.532390E-009	0.18	3.181298E-002	0.17
314	760.0	-0.761	2	3.223098E-001	1.59	8.534846E-009	0.18	3.180550E-002	0.17
315	762.5	-0.804	0	2.831810E-001	1.59	7.494189E-009	0.18	2.770133E-002	0.17
316	762.5	-0.804	1	2.831200E-001	1.59	7.494189E-009	0.18	2.770882E-002	0.17
317	762.5	-0.804	2	2.831200E-001	1.59	7.492734E-009	0.18	2.771500E-002	0.17
318	765.0	-0.848	0	2.451491E-001	1.59	6.483839E-009	0.18	2.378027E-002	0.17
319	765.0	-0.848	1	2.450891E-001	1.59	6.482050E-009	0.18	2.377278E-002	0.17
320	765.0	-0.848	2	2.450881E-001	1.59	6.481716E-009	0.18	2.377278E-002	0.17
321	767.5	-0.893	0	2.146282E-001	1.59	5.665786E-009	0.18	2.062948E-002	0.17
322	767.5	-0.893	1	2.145672E-001	1.59	5.665453E-009	0.18	2.062948E-002	0.17
323	767.5	-0.893	2	2.145682E-001	1.59	5.665453E-009	0.18	2.063707E-002	0.17
324	770.0	-0.938	0	1.829455E-001	1.59	4.817804E-009	0.18	1.740784E-002	0.17
325	770.0	-0.938	1	1.829465E-001	1.59	4.815682E-009	0.18	1.740101E-002	0.17
326	770.0	-0.938	2	1.828235E-001	1.59	4.816347E-009	0.18	1.739661E-002	0.17
327	772.5	-0.985	0	1.603605E-001	1.59	4.213066E-009	0.18	1.509296E-002	0.17
328	772.5	-0.985	1	1.604215E-001	1.59	4.210944E-009	0.18	1.510868E-002	0.17
329	772.5	-0.985	2	1.604215E-001	1.59	4.211276E-009	0.18	1.510429E-002	0.17
330	775.0	-1.031	0	1.505338E-001	1.59	3.941370E-009	0.18	1.401556E-002	0.17
331	775.0	-1.031	1	1.505338E-001	1.59	3.941203E-009	0.18	1.401621E-002	0.17
332	775.0	-1.031	2	1.505328E-001	1.59	3.941037E-009	0.18	1.401302E-002	0.17
333	777.5	-1.078	0	1.360657E-001	1.59	3.552996E-009	0.18	1.248660E-002	0.17
334	777.5	-1.078	1	1.360648E-001	1.59	3.552662E-009	0.18	1.248275E-002	0.17
335	777.5	-1.078	2	1.360038E-001	1.59	3.552330E-009	0.18	1.247901E-002	0.17
336	780.0	-1.126	0	1.382635E-001	1.59	3.601390E-009	0.18	1.251665E-002	0.17
337	780.0	-1.126	1	1.382625E-001	1.59	3.598706E-009	0.18	1.252039E-002	0.17
338	780.0	-1.126	2	1.382025E-001	1.59	3.600495E-009	0.18	1.251355E-002	0.17
