External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 13 July 2022 18:20:18
Dimensions:	3
TotalSteps:	339
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	1 V
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.02
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	20 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.019
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	100 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	80.0171
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
42	535.0	2.513	0	2.469214E-001	1.59	5.982428E-009	0.19	2.994404E-002	0.17
43	535.0	2.513	1	2.470109E-001	1.59	5.981533E-009	0.19	2.992326E-002	0.17
44	535.0	2.513	2	2.470719E-001	1.59	5.984944E-009	0.19	2.986527E-002	0.17
45	537.5	2.550	0	2.378556E-001	1.59	5.936480E-009	0.19	2.952262E-002	0.17
46	537.5	2.550	1	2.379476E-001	1.59	5.937146E-009	0.19	2.948710E-002	0.17
47	537.5	2.550	2	2.379761E-001	1.59	5.937766E-009	0.19	2.949127E-002	0.17
48	540.0	2.587	0	2.120321E-001	1.59	5.399257E-009	0.18	2.710431E-002	0.17
49	540.0	2.587	1	2.119121E-001	1.59	5.393340E-009	0.19	2.708002E-002	0.17
50	540.0	2.587	2	2.119121E-001	1.59	5.396191E-009	0.19	2.708882E-002	0.17
51	542.5	2.623	0	1.760789E-001	1.59	4.441508E-009	0.19	2.256806E-002	0.17
52	542.5	2.623	1	1.760794E-001	1.59	4.439636E-009	0.19	2.257344E-002	0.17
53	542.5	2.623	2	1.760799E-001	1.59	4.440088E-009	0.19	2.255828E-002	0.17
54	545.0	2.654	0	1.633221E-001	1.59	4.120038E-009	0.19	2.105174E-002	0.17
55	545.0	2.654	1	1.633221E-001	1.59	4.120871E-009	0.19	2.105571E-002	0.17
56	545.0	2.654	2	1.632906E-001	1.59	4.121575E-009	0.19	2.105660E-002	0.17
57	547.5	2.681	0	1.615508E-001	1.59	4.103920E-009	0.19	2.107088E-002	0.17
58	547.5	2.681	1	1.615828E-001	1.59	4.106129E-009	0.19	2.107111E-002	0.17
59	547.5	2.681	2	1.615833E-001	1.59	4.107107E-009	0.19	2.110158E-002	0.17
60	550.0	2.700	0	1.636876E-001	1.59	4.184092E-009	0.19	2.160289E-002	0.17
61	550.0	2.700	1	1.638095E-001	1.59	4.184200E-009	0.19	2.159068E-002	0.17
62	550.0	2.700	2	1.637180E-001	1.59	4.182947E-009	0.19	2.159035E-002	0.17
63	552.5	2.714	0	1.657938E-001	1.59	4.268117E-009	0.19	2.204565E-002	0.17
64	552.5	2.714	1	1.658238E-001	1.59	4.269045E-009	0.18	2.205875E-002	0.17
65	552.5	2.714	2	1.657033E-001	1.59	4.265182E-009	0.19	2.201340E-002	0.17
66	555.0	2.724	0	1.673801E-001	1.59	4.344135E-009	0.18	2.241502E-002	0.17
67	555.0	2.724	1	1.674415E-001	1.59	4.348741E-009	0.19	2.243580E-002	0.17
68	555.0	2.724	2	1.674720E-001	1.59	4.348597E-009	0.18	2.245264E-002	0.17
69	557.5	2.732	0	1.674411E-001	1.59	4.370867E-009	0.19	2.260227E-002	0.17
70	557.5	2.732	1	1.674120E-001	1.59	4.370751E-009	0.19	2.261140E-002	0.17
71	557.5	2.732	2	1.673200E-001	1.59	4.370057E-009	0.19	2.260129E-002	0.17
72	560.0	2.736	0	1.653368E-001	1.59	4.331528E-009	0.19	2.247366E-002	0.17
73	560.0	2.736	1	1.653968E-001	1.59	4.336369E-009	0.18	2.248256E-002	0.17
74	560.0	2.736	2	1.652744E-001	1.59	4.332983E-009	0.18	2.246210E-002	0.17
75	562.5	2.738	0	1.632596E-001	1.59	4.304521E-009	0.19	2.232787E-002	0.17
76	562.5	2.738	1	1.632596E-001	1.59	4.303509E-009	0.19	2.230564E-002	0.17
77	562.5	2.738	2	1.632596E-001	1.59	4.303901E-009	0.18	2.230311E-002	0.17
78	565.0	2.736	0	1.703116E-001	1.59	4.515872E-009	0.19	2.340130E-002	0.17
79	565.0	2.736	1	1.703111E-001	1.59	4.513473E-009	0.19	2.340725E-002	0.17
80	565.0	2.736	2	1.704322E-001	1.59	4.516883E-009	0.19	2.339217E-002	0.17
81	567.5	2.732	0	1.860901E-001	1.59	4.947215E-009	0.19	2.568627E-002	0.17
82	567.5	2.732	1	1.861210E-001	1.59	4.947500E-009	0.18	2.569662E-002	0.17
83	567.5	2.732	2	1.859990E-001	1.59	4.947215E-009	0.19	2.572620E-002	0.17
84	570.0	2.724	0	2.017175E-001	1.59	5.379347E-009	0.19	2.794836E-002	0.17
85	570.0	2.724	1	2.018089E-001	1.59	5.383166E-009	0.19	2.795472E-002	0.17
86	570.0	2.724	2	2.017470E-001	1.59	5.380708E-009	0.18	2.794396E-002	0.17
87	572.5	2.714	0	2.125525E-001	1.59	5.695679E-009	0.19	2.949028E-002	0.17
88	572.5	2.714	1	2.126730E-001	1.59	5.697885E-009	0.18	2.951055E-002	0.17
89	572.5	2.714	2	2.126740E-001	1.59	5.696799E-009	0.18	2.949468E-002	0.17
90	575.0	2.700	0	2.231736E-001	1.59	5.998936E-009	0.19	3.097314E-002	0.17
91	575.0	2.700	1	2.231736E-001	1.59	5.997706E-009	0.18	3.096720E-002	0.17
92	575.0	2.700	2	2.231741E-001	1.59	5.998126E-009	0.19	3.096533E-002	0.17
93	577.5	2.684	0	2.500345E-001	1.59	6.766032E-009	0.19	3.459856E-002	0.17
94	577.5	2.684	1	2.498515E-001	1.59	6.765864E-009	0.19	3.462112E-002	0.17
95	577.5	2.684	2	2.500330E-001	1.59	6.769668E-009	0.18	3.461981E-002	0.17
96	580.0	2.664	0	2.768919E-001	1.59	7.708302E-009	0.19	3.916948E-002	0.17
97	580.0	2.664	1	2.769839E-001	1.59	7.705903E-009	0.19	3.916565E-002	0.17
98	580.0	2.664	2	2.769848E-001	1.59	7.707048E-009	0.19	3.916850E-002	0.17
