External Quantum Efficiency	v1.4.7137.26188
Date Time:	Wednesday, 22 June 2022 00:15:39
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500 to 780 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corrloopback'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	200 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.5
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	5 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	5 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	71.497
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
857	2	647.5	1.260	2	6.062337E-001	1.81	1.540760E-008	0.26	9.736330E-002	0.25
858	2	650.0	1.200	0	6.304084E-001	1.81	1.598623E-008	0.26	1.006848E-001	0.25
859	2	650.0	1.200	1	6.305414E-001	1.81	1.599383E-008	0.26	1.007329E-001	0.25
860	2	650.0	1.200	2	6.304966E-001	1.81	1.598922E-008	0.26	1.006995E-001	0.25
861	2	652.5	1.140	0	6.481563E-001	1.81	1.641395E-008	0.26	1.030164E-001	0.25
862	2	652.5	1.140	1	6.482020E-001	1.81	1.641456E-008	0.26	1.030035E-001	0.25
863	2	652.5	1.140	2	6.480233E-001	1.81	1.640920E-008	0.26	1.029977E-001	0.25
864	2	655.0	1.080	0	6.575128E-001	1.81	1.665901E-008	0.26	1.040823E-001	0.25
865	2	655.0	1.080	1	6.575721E-001	1.81	1.666296E-008	0.26	1.040842E-001	0.25
866	2	655.0	1.080	2	6.575576E-001	1.81	1.666154E-008	0.26	1.041058E-001	0.25
867	2	657.5	1.020	0	6.659207E-001	1.81	1.686627E-008	0.26	1.050626E-001	0.25
868	2	657.5	1.020	1	6.659800E-001	1.81	1.686642E-008	0.26	1.050374E-001	0.25
869	2	657.5	1.020	2	6.658759E-001	1.81	1.685937E-008	0.26	1.049908E-001	0.25
870	2	660.0	0.960	0	6.723758E-001	1.81	1.698606E-008	0.26	1.056472E-001	0.25
871	2	660.0	0.960	1	6.722862E-001	1.81	1.698638E-008	0.26	1.056791E-001	0.25
872	2	660.0	0.960	2	6.722269E-001	1.81	1.698169E-008	0.26	1.056346E-001	0.25
873	2	662.5	0.900	0	6.771718E-001	1.81	1.703132E-008	0.26	1.059458E-001	0.25
874	2	662.5	0.900	1	6.772310E-001	1.81	1.703536E-008	0.26	1.059750E-001	0.25
875	2	662.5	0.900	2	6.773642E-001	1.81	1.703805E-008	0.26	1.059811E-001	0.25
876	2	665.0	0.840	0	6.844105E-001	1.81	1.712897E-008	0.26	1.065393E-001	0.25
877	2	665.0	0.840	1	6.846476E-001	1.81	1.713808E-008	0.26	1.065991E-001	0.25
878	2	665.0	0.840	2	6.844551E-001	1.81	1.712835E-008	0.26	1.065408E-001	0.25
879	2	667.5	0.780	0	6.869713E-001	1.81	1.711923E-008	0.26	1.063026E-001	0.25
880	2	667.5	0.780	1	6.870451E-001	1.81	1.712050E-008	0.26	1.063361E-001	0.25
881	2	667.5	0.780	2	6.869266E-001	1.81	1.711576E-008	0.26	1.062420E-001	0.25
882	2	670.0	0.720	0	6.974669E-001	1.81	1.734064E-008	0.26	1.072245E-001	0.25
883	2	670.0	0.720	1	6.975117E-001	1.81	1.734153E-008	0.26	1.072892E-001	0.25
884	2	670.0	0.720	2	6.974221E-001	1.81	1.733843E-008	0.26	1.072595E-001	0.25
885	2	672.5	0.660	0	7.111461E-001	1.81	1.766764E-008	0.26	1.085825E-001	0.25
886	2	672.5	0.660	1	7.111013E-001	1.81	1.766454E-008	0.26	1.086156E-001	0.25
887	2	672.5	0.660	2	7.112646E-001	1.81	1.767380E-008	0.26	1.086303E-001	0.25
888	2	675.0	0.600	0	7.289541E-001	1.81	1.810760E-008	0.26	1.106106E-001	0.25
889	2	675.0	0.600	1	7.289397E-001	1.81	1.810398E-008	0.26	1.106008E-001	0.25
890	2	675.0	0.600	2	7.288659E-001	1.81	1.810356E-008	0.26	1.105569E-001	0.25
891	2	677.5	0.539	0	7.493531E-001	1.81	1.858982E-008	0.26	1.129660E-001	0.25
892	2	677.5	0.539	1	7.491898E-001	1.81	1.858540E-008	0.26	1.129717E-001	0.25
893	2	677.5	0.539	2	7.492346E-001	1.81	1.859292E-008	0.26	1.130415E-001	0.25
894	2	680.0	0.475	0	7.641712E-001	1.81	1.890929E-008	0.26	1.144395E-001	0.25
895	2	680.0	0.475	1	7.641264E-001	1.81	1.890835E-008	0.26	1.144780E-001	0.25
896	2	680.0	0.475	2	7.641712E-001	1.81	1.891103E-008	0.26	1.144664E-001	0.25
897	2	682.5	0.411	0	7.698415E-001	1.81	1.898376E-008	0.26	1.145753E-001	0.25
898	2	682.5	0.411	1	7.699007E-001	1.81	1.898644E-008	0.26	1.145533E-001	0.25
899	2	682.5	0.411	2	7.699600E-001	1.81	1.899301E-008	0.26	1.146609E-001	0.25
900	2	685.0	0.346	0	7.705078E-001	1.81	1.894356E-008	0.26	1.138464E-001	0.25
901	2	685.0	0.346	1	7.705367E-001	1.81	1.894808E-008	0.26	1.138714E-001	0.25
902	2	685.0	0.346	2	7.705223E-001	1.81	1.894276E-008	0.26	1.138706E-001	0.25
903	2	687.5	0.281	0	7.540019E-001	1.81	1.849938E-008	0.26	1.106238E-001	0.25
904	2	687.5	0.281	1	7.540611E-001	1.81	1.850690E-008	0.26	1.106232E-001	0.25
905	2	687.5	0.281	2	7.540756E-001	1.81	1.850675E-008	0.26	1.106714E-001	0.25
906	2	690.0	0.218	0	7.316190E-001	1.81	1.794340E-008	0.26	1.065232E-001	0.25
907	2	690.0	0.218	1	7.316479E-001	1.81	1.794245E-008	0.26	1.065670E-001	0.25
908	2	690.0	0.218	2	7.316927E-001	1.81	1.794072E-008	0.26	1.065296E-001	0.25
909	2	692.5	0.158	0	7.310712E-001	1.81	1.793334E-008	0.26	1.057193E-001	0.25
910	2	692.5	0.158	1	7.308789E-001	1.81	1.793160E-008	0.26	1.056826E-001	0.25
911	2	692.5	0.158	2	7.308197E-001	1.81	1.792440E-008	0.26	1.056645E-001	0.25
912	2	695.0	0.101	0	7.598344E-001	1.81	1.864886E-008	0.26	1.090934E-001	0.25
913	2	695.0	0.101	1	7.599674E-001	1.81	1.865323E-008	0.26	1.091555E-001	0.25
914	2	695.0	0.101	2	7.598489E-001	1.81	1.864980E-008	0.26	1.090787E-001	0.25
915	2	697.5	0.048	0	8.007362E-001	1.81	1.964349E-008	0.26	1.140723E-001	0.25
916	2	697.5	0.048	1	8.006915E-001	1.81	1.964522E-008	0.26	1.141856E-001	0.25
917	2	697.5	0.048	2	8.007507E-001	1.81	1.964490E-008	0.26	1.141244E-001	0.25
918	2	700.0	0.000	0	8.289517E-001	1.81	2.029749E-008	0.26	1.172540E-001	0.25
919	2	700.0	0.000	1	8.290702E-001	1.81	2.029602E-008	0.26	1.172903E-001	0.25
920	2	700.0	0.000	2	8.289372E-001	1.81	2.030265E-008	0.26	1.173120E-001	0.25
921	2	702.5	-0.042	0	8.455458E-001	1.81	2.064916E-008	0.26	1.186747E-001	0.25
922	2	702.5	-0.042	1	8.455906E-001	1.81	2.065216E-008	0.26	1.187732E-001	0.25
923	2	702.5	-0.042	2	8.454721E-001	1.81	2.064196E-008	0.26	1.186539E-001	0.25
924	2	705.0	-0.079	0	8.503131E-001	1.81	2.071103E-008	0.26	1.184551E-001	0.25
925	2	705.0	-0.079	1	8.503724E-001	1.81	2.070693E-008	0.26	1.184538E-001	0.25
926	2	705.0	-0.079	2	8.505198E-001	1.81	2.071215E-008	0.26	1.183653E-001	0.25
927	2	707.5	-0.112	0	8.479436E-001	1.81	2.061917E-008	0.26	1.169690E-001	0.25
928	2	707.5	-0.112	1	8.480910E-001	1.81	2.062528E-008	0.26	1.170745E-001	0.25
929	2	707.5	-0.112	2	8.481358E-001	1.81	2.062044E-008	0.26	1.169054E-001	0.25
930	2	710.0	-0.142	0	8.327554E-001	1.81	2.025682E-008	0.26	1.136872E-001	0.25
931	2	710.0	-0.142	1	8.328594E-001	1.81	2.026325E-008	0.26	1.137914E-001	0.25
932	2	710.0	-0.142	2	8.330069E-001	1.81	2.026839E-008	0.26	1.137302E-001	0.25
933	2	712.5	-0.169	0	8.027481E-001	1.81	1.957645E-008	0.26	1.086901E-001	0.25
934	2	712.5	-0.169	1	8.028522E-001	1.81	1.957946E-008	0.26	1.086837E-001	0.25
935	2	712.5	-0.169	2	8.029852E-001	1.81	1.958167E-008	0.26	1.086378E-001	0.25
936	2	715.0	-0.194	0	7.640672E-001	1.81	1.868148E-008	0.26	1.024575E-001	0.25
937	2	715.0	-0.194	1	7.635642E-001	1.81	1.867458E-008	0.26	1.023855E-001	0.25
938	2	715.0	-0.194	2	7.635194E-001	1.81	1.867490E-008	0.26	1.024187E-001	0.25
939	2	717.5	-0.219	0	7.189903E-001	1.81	1.764728E-008	0.26	9.568330E-002	0.25
940	2	717.5	-0.219	1	7.187980E-001	1.81	1.763892E-008	0.26	9.570696E-002	0.25
941	2	717.5	-0.219	2	7.185913E-001	1.81	1.764207E-008	0.26	9.574626E-002	0.25
942	2	720.0	-0.245	0	6.791402E-001	1.81	1.672153E-008	0.26	8.981351E-002	0.25
943	2	720.0	-0.245	1	6.791547E-001	1.81	1.672309E-008	0.26	8.974569E-002	0.25
944	2	720.0	-0.245	2	6.790955E-001	1.81	1.672557E-008	0.26	8.984704E-002	0.25
945	2	722.5	-0.271	0	6.418352E-001	1.81	1.584570E-008	0.26	8.441979E-002	0.25
946	2	722.5	-0.271	1	6.415099E-001	1.81	1.583249E-008	0.26	8.430663E-002	0.25
947	2	722.5	-0.271	2	6.416429E-001	1.81	1.584222E-008	0.26	8.440521E-002	0.25
948	2	725.0	-0.300	0	6.178682E-001	1.81	1.527751E-008	0.26	8.075274E-002	0.25
949	2	725.0	-0.300	1	6.180460E-001	1.81	1.528098E-008	0.26	8.074844E-002	0.25
950	2	725.0	-0.300	2	6.177788E-001	1.81	1.527435E-008	0.26	8.077275E-002	0.25
951	2	727.5	-0.343	0	6.286601E-001	1.81	1.555726E-008	0.26	8.164430E-002	0.25
952	2	727.5	-0.343	1	6.284971E-001	1.81	1.555053E-008	0.26	8.164024E-002	0.25
953	2	727.5	-0.343	2	6.286311E-001	1.81	1.555147E-008	0.26	8.155911E-002	0.25
954	2	730.0	-0.405	0	6.607396E-001	1.81	1.635396E-008	0.26	8.525775E-002	0.25
955	2	730.0	-0.405	1	6.608133E-001	1.81	1.635759E-008	0.26	8.523236E-002	0.25
956	2	730.0	-0.405	2	6.606794E-001	1.81	1.635443E-008	0.26	8.526343E-002	0.25
957	2	732.5	-0.478	0	6.746245E-001	1.81	1.671631E-008	0.26	8.649390E-002	0.25
958	2	732.5	-0.478	1	6.745059E-001	1.81	1.671020E-008	0.26	8.639220E-002	0.25
959	2	732.5	-0.478	2	6.743282E-001	1.81	1.670973E-008	0.26	8.644409E-002	0.25
960	2	735.0	-0.554	0	6.708934E-001	1.81	1.665854E-008	0.26	8.545427E-002	0.25
961	2	735.0	-0.554	1	6.710119E-001	1.81	1.665512E-008	0.26	8.541348E-002	0.25
962	2	735.0	-0.554	2	6.708934E-001	1.81	1.665228E-008	0.26	8.544667E-002	0.25
963	2	737.5	-0.625	0	6.584293E-001	1.81	1.637437E-008	0.26	8.325583E-002	0.25
964	2	737.5	-0.625	1	6.583846E-001	1.81	1.637531E-008	0.26	8.322440E-002	0.25
965	2	737.5	-0.625	2	6.583556E-001	1.81	1.637690E-008	0.26	8.327793E-002	0.25
966	2	740.0	-0.682	0	6.152180E-001	1.81	1.533654E-008	0.26	7.734759E-002	0.25
967	2	740.0	-0.682	1	6.151587E-001	1.81	1.533344E-008	0.26	7.731256E-002	0.25
968	2	740.0	-0.682	2	6.152180E-001	1.81	1.533433E-008	0.26	7.733076E-002	0.25
969	2	742.5	-0.716	0	5.698461E-001	1.81	1.421626E-008	0.26	7.113013E-002	0.25
970	2	742.5	-0.716	1	5.697869E-001	1.81	1.421753E-008	0.26	7.109883E-002	0.25
971	2	742.5	-0.716	2	5.698461E-001	1.81	1.421880E-008	0.26	7.115060E-002	0.25
972	2	745.0	-0.719	0	5.150582E-001	1.81	1.285012E-008	0.26	6.383756E-002	0.25
973	2	745.0	-0.719	1	5.149397E-001	1.81	1.284618E-008	0.26	6.382633E-002	0.25
974	2	745.0	-0.719	2	5.148212E-001	1.81	1.284712E-008	0.26	6.381353E-002	0.25
975	2	747.5	-0.683	0	4.642956E-001	1.81	1.156701E-008	0.26	5.710941E-002	0.25
976	2	747.5	-0.683	1	4.637917E-001	1.81	1.155869E-008	0.26	5.707798E-002	0.25
977	2	747.5	-0.683	2	4.635402E-001	1.81	1.155474E-008	0.26	5.707061E-002	0.25
978	2	750.0	-0.600	0	4.330009E-001	1.81	1.077236E-008	0.26	5.284600E-002	0.25
979	2	750.0	-0.600	1	4.329417E-001	1.81	1.076926E-008	0.26	5.286460E-002	0.25
980	2	750.0	-0.600	2	4.330009E-001	1.81	1.077109E-008	0.26	5.283678E-002	0.25
981	2	752.5	-0.468	0	4.085601E-001	1.81	1.013212E-008	0.26	4.942462E-002	0.25
982	2	752.5	-0.468	1	4.086348E-001	1.81	1.013387E-008	0.26	4.943395E-002	0.25
983	2	752.5	-0.468	2	4.085601E-001	1.81	1.013387E-008	0.26	4.944495E-002	0.25
984	2	755.0	-0.294	0	3.931652E-001	1.81	9.727054E-009	0.26	4.717639E-002	0.25
985	2	755.0	-0.294	1	3.930322E-001	1.81	9.723069E-009	0.26	4.716342E-002	0.25
986	2	755.0	-0.294	2	3.927807E-001	1.81	9.718265E-009	0.26	4.713199E-002	0.25
987	2	757.5	-0.086	0	3.638690E-001	1.81	8.985698E-009	0.26	4.326826E-002	0.25
988	2	757.5	-0.086	1	3.638097E-001	1.81	8.984891E-009	0.26	4.326089E-002	0.25
989	2	757.5	-0.086	2	3.637505E-001	1.81	8.981375E-009	0.26	4.325166E-002	0.25
990	2	760.0	0.151	0	3.293918E-001	1.81	8.120515E-009	0.26	3.879965E-002	0.25
991	2	760.0	0.151	1	3.293773E-001	1.81	8.118286E-009	0.26	3.878107E-002	0.25
992	2	760.0	0.151	2	3.293918E-001	1.81	8.120515E-009	0.26	3.880514E-002	0.25
993	2	762.5	0.412	0	2.863438E-001	1.81	7.048718E-009	0.26	3.338901E-002	0.25
994	2	762.5	0.412	1	2.864030E-001	1.81	7.052695E-009	0.26	3.340748E-002	0.25
995	2	762.5	0.412	2	2.865360E-001	1.81	7.054925E-009	0.26	3.342045E-002	0.25
996	2	765.0	0.690	0	2.494534E-001	1.81	6.133608E-009	0.26	2.877762E-002	0.25
997	2	765.0	0.690	1	2.493932E-001	1.81	6.132669E-009	0.26	2.878312E-002	0.25
998	2	765.0	0.690	2	2.494534E-001	1.81	6.133608E-009	0.26	2.878499E-002	0.25
999	2	767.5	0.980	0	2.184101E-001	1.81	5.362733E-009	0.26	2.493621E-002	0.25
1000	2	767.5	0.980	1	2.184694E-001	1.81	5.364961E-009	0.26	2.493807E-002	0.25
1001	2	767.5	0.980	2	2.184247E-001	1.81	5.360975E-009	0.26	2.492688E-002	0.25
1002	2	770.0	1.276	0	1.868648E-001	1.81	4.579088E-009	0.26	2.110403E-002	0.25
1003	2	770.0	1.276	1	1.868648E-001	1.81	4.579088E-009	0.26	2.111140E-002	0.25
1004	2	770.0	1.276	2	1.869241E-001	1.81	4.581316E-009	0.26	2.111877E-002	0.25
1005	2	772.5	1.571	0	1.687741E-001	1.81	4.125984E-009	0.26	1.884648E-002	0.25
1006	2	772.5	1.571	1	1.687741E-001	1.81	4.125513E-009	0.26	1.884280E-002	0.25
1007	2	772.5	1.571	2	1.688333E-001	1.81	4.127271E-009	0.26	1.884648E-002	0.25
1008	2	775.0	1.861	0	1.578491E-001	1.81	3.846228E-009	0.26	1.741707E-002	0.25
1009	2	775.0	1.861	1	1.578939E-001	1.81	3.848221E-009	0.26	1.742169E-002	0.25
1010	2	775.0	1.861	2	1.578346E-001	1.81	3.846228E-009	0.26	1.742169E-002	0.25
1011	2	777.5	2.139	0	1.451481E-001	1.81	3.522126E-009	0.26	1.579700E-002	0.25
1012	2	777.5	2.139	1	1.450888E-001	1.81	3.521891E-009	0.26	1.579607E-002	0.25
1013	2	777.5	2.139	2	1.450296E-001	1.81	3.521247E-009	0.26	1.579607E-002	0.25
1014	2	780.0	2.400	0	1.474575E-001	1.81	3.568882E-009	0.26	1.585158E-002	0.25
1015	2	780.0	2.400	1	1.474575E-001	1.81	3.568003E-009	0.26	1.584603E-002	0.25
1016	2	780.0	2.400	2	1.474575E-001	1.81	3.568238E-009	0.26	1.584789E-002	0.25
1017	3	500.0	2.400	0	2.754371E-002	1.81	4.202230E-010	0.26	2.429364E-003	0.25
1018	3	500.0	2.400	1	2.756220E-002	1.81	4.200028E-010	0.26	2.434222E-003	0.25
1019	3	500.0	2.400	2	2.757139E-002	1.81	4.205014E-010	0.26	2.437462E-003	0.25
1020	3	502.5	2.447	0	3.300807E-002	1.81	5.271143E-010	0.26	3.086719E-003	0.25
1021	3	502.5	2.447	1	3.299359E-002	1.81	5.269968E-010	0.26	3.083013E-003	0.25
1022	3	502.5	2.447	2	3.301559E-002	1.81	5.275537E-010	0.26	3.086719E-003	0.25
1023	3	505.0	2.472	0	4.123492E-002	1.81	6.890451E-010	0.26	4.073007E-003	0.25
1024	3	505.0	2.472	1	4.123709E-002	1.81	6.890451E-010	0.26	4.073229E-003	0.25
1025	3	505.0	2.472	2	4.124615E-002	1.81	6.892066E-010	0.26	4.075316E-003	0.25
1026	3	507.5	2.479	0	5.414210E-002	1.81	9.504691E-010	0.26	5.669208E-003	0.25
1027	3	507.5	2.479	1	5.418258E-002	1.81	9.504265E-010	0.26	5.664815E-003	0.25
1028	3	507.5	2.479	2	5.430069E-002	1.81	9.522591E-010	0.26	5.677773E-003	0.25
1029	3	510.0	2.472	0	7.224327E-002	1.81	1.327602E-009	0.26	7.986134E-003	0.25
1030	3	510.0	2.472	1	7.230042E-002	1.81	1.328399E-009	0.26	7.991243E-003	0.25
1031	3	510.0	2.472	2	7.237817E-002	1.81	1.329608E-009	0.26	7.986150E-003	0.25
1032	3	512.5	2.456	0	9.465711E-002	1.81	1.815696E-009	0.26	1.099055E-002	0.25
1033	3	512.5	2.456	1	9.474987E-002	1.81	1.816363E-009	0.26	1.099982E-002	0.25
1034	3	512.5	2.456	2	9.484210E-002	1.81	1.817395E-009	0.26	1.100327E-002	0.25
1035	3	515.0	2.436	0	1.254129E-001	1.81	2.499437E-009	0.26	1.522182E-002	0.25
1036	3	515.0	2.436	1	1.254540E-001	1.81	2.499680E-009	0.26	1.522015E-002	0.25
1037	3	515.0	2.436	2	1.254522E-001	1.81	2.500007E-009	0.26	1.521567E-002	0.25
1038	3	517.5	2.416	0	1.673159E-001	1.81	3.453840E-009	0.26	2.115589E-002	0.25
1039	3	517.5	2.416	1	1.672869E-001	1.81	3.452742E-009	0.26	2.115395E-002	0.25
1040	3	517.5	2.416	2	1.674573E-001	1.81	3.455347E-009	0.26	2.115442E-002	0.25
1041	3	520.0	2.400	0	2.290689E-001	1.81	4.895313E-009	0.26	3.008865E-002	0.25
1042	3	520.0	2.400	1	2.290472E-001	1.81	4.895785E-009	0.26	3.011090E-002	0.25
1043	3	520.0	2.400	2	2.291646E-001	1.81	4.895549E-009	0.26	3.010164E-002	0.25
1044	3	522.5	2.393	0	3.264912E-001	1.81	7.213413E-009	0.26	4.449704E-002	0.25
1045	3	522.5	2.393	1	3.266691E-001	1.81	7.216131E-009	0.26	4.448311E-002	0.25
1046	3	522.5	2.393	2	3.264696E-001	1.81	7.211436E-009	0.26	4.447293E-002	0.25
1047	3	525.0	2.400	0	4.371310E-001	1.81	9.917934E-009	0.26	6.138466E-002	0.25
1048	3	525.0	2.400	1	4.371007E-001	1.81	9.906100E-009	0.26	6.140611E-002	0.25
1049	3	525.0	2.400	2	4.370125E-001	1.81	9.908737E-009	0.26	6.145606E-002	0.25
1050	3	527.5	2.419	0	4.853019E-001	1.81	1.123971E-008	0.26	7.002830E-002	0.25
1051	3	527.5	2.419	1	4.858941E-001	1.81	1.124626E-008	0.26	7.008368E-002	0.25
1052	3	527.5	2.419	2	4.858348E-001	1.81	1.124650E-008	0.26	7.003844E-002	0.25
1053	3	530.0	2.446	0	4.406542E-001	1.81	1.033518E-008	0.26	6.472400E-002	0.25
1054	3	530.0	2.446	1	4.403883E-001	1.81	1.033775E-008	0.26	6.474059E-002	0.25
1055	3	530.0	2.446	2	4.401526E-001	1.81	1.033746E-008	0.26	6.473410E-002	0.25
1056	3	532.5	2.477	0	3.544699E-001	1.81	8.413327E-009	0.26	5.303750E-002	0.25
1057	3	532.5	2.477	1	3.546766E-001	1.81	8.420594E-009	0.26	5.310322E-002	0.25
1058	3	532.5	2.477	2	3.546766E-001	1.81	8.419072E-009	0.26	5.306994E-002	0.25
1059	3	535.0	2.513	0	2.765153E-001	1.81	6.635576E-009	0.26	4.211360E-002	0.25
1060	3	535.0	2.513	1	2.765601E-001	1.81	6.635920E-009	0.26	4.209238E-002	0.25
1061	3	535.0	2.513	2	2.765891E-001	1.81	6.637334E-009	0.26	4.210255E-002	0.25
1062	3	537.5	2.550	0	2.332875E-001	1.81	5.667677E-009	0.26	3.610631E-002	0.25
1063	3	537.5	2.550	1	2.330953E-001	1.81	5.663282E-009	0.26	3.607207E-002	0.25
1064	3	537.5	2.550	2	2.330650E-001	1.81	5.663754E-009	0.26	3.608961E-002	0.25
1065	3	540.0	2.587	0	2.213117E-001	1.81	5.456358E-009	0.26	3.484431E-002	0.25
1066	3	540.0	2.587	1	2.212972E-001	1.81	5.456765E-009	0.26	3.486382E-002	0.25
1067	3	540.0	2.587	2	2.212972E-001	1.81	5.456765E-009	0.26	3.484249E-002	0.25
1068	3	542.5	2.623	0	2.307122E-001	1.81	5.783728E-009	0.26	3.696485E-002	0.25
1069	3	542.5	2.623	1	2.308004E-001	1.81	5.786837E-009	0.26	3.698524E-002	0.25
1070	3	542.5	2.623	2	2.305489E-001	1.81	5.779343E-009	0.26	3.694177E-002	0.25
1071	3	545.0	2.654	0	2.576108E-001	1.81	6.597205E-009	0.26	4.208403E-002	0.25
1072	3	545.0	2.654	1	2.577437E-001	1.81	6.604226E-009	0.26	4.215807E-002	0.25
1073	3	545.0	2.654	2	2.577582E-001	1.81	6.600720E-009	0.26	4.210991E-002	0.25
1074	3	547.5	2.681	0	2.561590E-001	1.81	6.631760E-009	0.26	4.236802E-002	0.25
1075	3	547.5	2.681	1	2.561590E-001	1.81	6.632704E-009	0.26	4.235790E-002	0.25
1076	3	547.5	2.681	2	2.561142E-001	1.81	6.630946E-009	0.26	4.235329E-002	0.25
1077	3	550.0	2.700	0	2.199794E-001	1.81	5.634407E-009	0.26	3.637001E-002	0.25
1078	3	550.0	2.700	1	2.196094E-001	1.81	5.632178E-009	0.26	3.635984E-002	0.25
1079	3	550.0	2.700	2	2.196094E-001	1.81	5.631771E-009	0.26	3.636446E-002	0.25
1080	3	552.5	2.714	0	2.023335E-001	1.81	5.164015E-009	0.26	3.367668E-002	0.25
1081	3	552.5	2.714	1	2.025850E-001	1.81	5.166887E-009	0.26	3.368414E-002	0.25
1082	3	552.5	2.714	2	2.024665E-001	1.81	5.164486E-009	0.26	3.368317E-002	0.25
1083	3	555.0	2.724	0	1.974925E-001	1.81	5.042510E-009	0.26	3.305689E-002	0.25
1084	3	555.0	2.724	1	1.976120E-001	1.81	5.045553E-009	0.26	3.308734E-002	0.25
1085	3	555.0	2.724	2	1.976713E-001	1.81	5.044438E-009	0.26	3.307992E-002	0.25
1086	3	557.5	2.732	0	1.945919E-001	1.81	4.984446E-009	0.26	3.279495E-002	0.25
1087	3	557.5	2.732	1	1.946801E-001	1.81	4.988670E-009	0.26	3.282926E-002	0.25
1088	3	557.5	2.732	2	1.945181E-001	1.81	4.982216E-009	0.26	3.278571E-002	0.25
1089	3	560.0	2.736	0	1.900617E-001	1.81	4.888888E-009	0.26	3.221661E-002	0.25
1090	3	560.0	2.736	1	1.899577E-001	1.81	4.888019E-009	0.26	3.221941E-002	0.25
1091	3	560.0	2.736	2	1.900025E-001	1.81	4.890238E-009	0.26	3.222034E-002	0.25
1092	3	562.5	2.738	0	1.877523E-001	1.81	4.850762E-009	0.26	3.201216E-002	0.25
1093	3	562.5	2.738	1	1.877669E-001	1.81	4.851876E-009	0.26	3.201684E-002	0.25
1094	3	562.5	2.738	2	1.877523E-001	1.81	4.851405E-009	0.26	3.202041E-002	0.25
1095	3	565.0	2.736	0	1.968565E-001	1.81	5.098921E-009	0.26	3.369707E-002	0.25
1096	3	565.0	2.736	1	1.968565E-001	1.81	5.099156E-009	0.26	3.370081E-002	0.25
1097	3	565.0	2.736	2	1.967380E-001	1.81	5.097399E-009	0.26	3.369981E-002	0.25
1098	3	567.5	2.732	0	2.149608E-001	1.81	5.584779E-009	0.26	3.694452E-002	0.25
1099	3	567.5	2.732	1	2.149608E-001	1.81	5.583664E-009	0.26	3.693534E-002	0.25
1100	3	567.5	2.732	2	2.150938E-001	1.81	5.586064E-009	0.26	3.695567E-002	0.25
1101	3	570.0	2.724	0	2.323697E-001	1.81	6.053346E-009	0.26	4.004401E-002	0.25
1102	3	570.0	2.724	1	2.323697E-001	1.81	6.052641E-009	0.26	4.003560E-002	0.25
1103	3	570.0	2.724	2	2.324290E-001	1.81	6.057097E-009	0.26	4.005419E-002	0.25
1104	3	572.5	2.714	0	2.444202E-001	1.81	6.381834E-009	0.26	4.221084E-002	0.25
1105	3	572.5	2.714	1	2.445532E-001	1.81	6.383185E-009	0.26	4.220895E-002	0.25
1106	3	572.5	2.714	2	2.444940E-001	1.81	6.381191E-009	0.26	4.220627E-002	0.25
1107	3	575.0	2.700	0	2.543526E-001	1.81	6.647057E-009	0.26	4.399748E-002	0.25
1108	3	575.0	2.700	1	2.543079E-001	1.81	6.645235E-009	0.26	4.399368E-002	0.25
