External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 17:51:47
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.982
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
40	0	532.5	2.477	1	2.251118E-001	1.82	5.897845E-009	0.27	3.053102E-002	0.25
41	0	532.5	2.477	2	2.251723E-001	1.82	5.904145E-009	0.27	3.056158E-002	0.25
42	0	535.0	2.513	0	1.941656E-001	1.82	5.174075E-009	0.27	2.681861E-002	0.25
43	0	535.0	2.513	1	1.940913E-001	1.82	5.173953E-009	0.27	2.681294E-002	0.25
44	0	535.0	2.513	2	1.941213E-001	1.82	5.174629E-009	0.27	2.680334E-002	0.25
45	0	537.5	2.550	0	1.712860E-001	1.82	4.632007E-009	0.27	2.404786E-002	0.25
46	0	537.5	2.550	1	1.712483E-001	1.82	4.631525E-009	0.27	2.405386E-002	0.25
47	0	537.5	2.550	2	1.712045E-001	1.82	4.630925E-009	0.27	2.404794E-002	0.25
48	0	540.0	2.587	0	1.610863E-001	1.82	4.420907E-009	0.27	2.295245E-002	0.25
49	0	540.0	2.587	1	1.611164E-001	1.82	4.422855E-009	0.27	2.296718E-002	0.25
50	0	540.0	2.587	2	1.610120E-001	1.82	4.421052E-009	0.27	2.294542E-002	0.25
51	0	542.5	2.623	0	1.559713E-001	1.82	4.325977E-009	0.27	2.246483E-002	0.25
52	0	542.5	2.623	1	1.559122E-001	1.82	4.325582E-009	0.27	2.246171E-002	0.25
53	0	542.5	2.623	2	1.559122E-001	1.82	4.331158E-009	0.27	2.250091E-002	0.25
54	0	545.0	2.654	0	1.473341E-001	1.82	4.115828E-009	0.27	2.142486E-002	0.25
55	0	545.0	2.654	1	1.474375E-001	1.82	4.117702E-009	0.27	2.143038E-002	0.25
56	0	545.0	2.654	2	1.472965E-001	1.82	4.111836E-009	0.27	2.140592E-002	0.25
57	0	547.5	2.681	0	1.377933E-001	1.82	3.846391E-009	0.27	2.012721E-002	0.25
58	0	547.5	2.681	1	1.378299E-001	1.82	3.849070E-009	0.27	2.014200E-002	0.25
59	0	547.5	2.681	2	1.377709E-001	1.82	3.845199E-009	0.27	2.011842E-002	0.25
60	0	550.0	2.700	0	1.303393E-001	1.82	3.638318E-009	0.27	1.912372E-002	0.25
61	0	550.0	2.700	1	1.303698E-001	1.82	3.639678E-009	0.27	1.913725E-002	0.25
62	0	550.0	2.700	2	1.303398E-001	1.82	3.639283E-009	0.27	1.913365E-002	0.25
63	0	552.5	2.714	0	1.262898E-001	1.82	3.538091E-009	0.27	1.864739E-002	0.25
64	0	552.5	2.714	1	1.262822E-001	1.82	3.536972E-009	0.27	1.863626E-002	0.25
65	0	552.5	2.714	2	1.262532E-001	1.82	3.537608E-009	0.27	1.864691E-002	0.25
66	0	555.0	2.724	0	1.255577E-001	1.82	3.531871E-009	0.27	1.865883E-002	0.25
67	0	555.0	2.724	1	1.254977E-001	1.82	3.528554E-009	0.27	1.863394E-002	0.25
68	0	555.0	2.724	2	1.254386E-001	1.82	3.528916E-009	0.27	1.864651E-002	0.25
69	0	557.5	2.732	0	1.275784E-001	1.82	3.610447E-009	0.27	1.906140E-002	0.25
70	0	557.5	2.732	1	1.275484E-001	1.82	3.610447E-009	0.27	1.905724E-002	0.25
71	0	557.5	2.732	2	1.276074E-001	1.82	3.612949E-009	0.27	1.906916E-002	0.25
72	0	560.0	2.736	0	1.340325E-001	1.82	3.845836E-009	0.27	2.018785E-002	0.25
73	0	560.0	2.736	1	1.341444E-001	1.82	3.851020E-009	0.27	2.020818E-002	0.25
74	0	560.0	2.736	2	1.341215E-001	1.82	3.850503E-009	0.27	2.020178E-002	0.25
75	0	562.5	2.738	0	1.514865E-001	1.82	4.425453E-009	0.27	2.300525E-002	0.25
76	0	562.5	2.738	1	1.515450E-001	1.82	4.426243E-009	0.27	2.300598E-002	0.25
77	0	562.5	2.738	2	1.515455E-001	1.82	4.427520E-009	0.27	2.301028E-002	0.25
78	0	565.0	2.736	0	1.703380E-001	1.82	5.013053E-009	0.27	2.591771E-002	0.25
79	0	565.0	2.736	1	1.702652E-001	1.82	5.011588E-009	0.27	2.591890E-002	0.25
80	0	565.0	2.736	2	1.701532E-001	1.82	5.009986E-009	0.27	2.591690E-002	0.25
81	0	567.5	2.732	0	1.588732E-001	1.82	4.600456E-009	0.27	2.398539E-002	0.25
82	0	567.5	2.732	1	1.587475E-001	1.82	4.599254E-009	0.27	2.397521E-002	0.25
83	0	567.5	2.732	2	1.587775E-001	1.82	4.599460E-009	0.27	2.398682E-002	0.25
84	0	570.0	2.724	0	1.379995E-001	1.82	3.920873E-009	0.27	2.071108E-002	0.25
85	0	570.0	2.724	1	1.379705E-001	1.82	3.919552E-009	0.27	2.070323E-002	0.25
86	0	570.0	2.724	2	1.378814E-001	1.82	3.918121E-009	0.27	2.069483E-002	0.25
87	0	572.5	2.714	0	1.284296E-001	1.82	3.613634E-009	0.27	1.922789E-002	0.25
88	0	572.5	2.714	1	1.282815E-001	1.82	3.612635E-009	0.27	1.923204E-002	0.25
89	0	572.5	2.714	2	1.283039E-001	1.82	3.611637E-009	0.27	1.921725E-002	0.25
90	0	575.0	2.700	0	1.256534E-001	1.82	3.519500E-009	0.27	1.880884E-002	0.25
91	0	575.0	2.700	1	1.257425E-001	1.82	3.521819E-009	0.27	1.881196E-002	0.25
92	0	575.0	2.700	2	1.256534E-001	1.82	3.520701E-009	0.27	1.881388E-002	0.25
93	0	577.5	2.684	0	1.257201E-001	1.82	3.513005E-009	0.27	1.880179E-002	0.25
94	0	577.5	2.684	1	1.258092E-001	1.82	3.514760E-009	0.27	1.881572E-002	0.25
95	0	577.5	2.684	2	1.258459E-001	1.82	3.516120E-009	0.27	1.882219E-002	0.25
96	0	580.0	2.664	0	1.257425E-001	1.82	3.508893E-009	0.27	1.876851E-002	0.25
97	0	580.0	2.664	1	1.257201E-001	1.82	3.506704E-009	0.27	1.875604E-002	0.25
98	0	580.0	2.664	2	1.257125E-001	1.82	3.506501E-009	0.27	1.875924E-002	0.25
99	0	582.5	2.642	0	1.247141E-001	1.82	3.480819E-009	0.27	1.857978E-002	0.25
100	0	582.5	2.642	1	1.246388E-001	1.82	3.478100E-009	0.27	1.857364E-002	0.25
101	0	582.5	2.642	2	1.246688E-001	1.82	3.479580E-009	0.27	1.858482E-002	0.25
102	0	585.0	2.616	0	1.247217E-001	1.82	3.482574E-009	0.27	1.858810E-002	0.25
103	0	585.0	2.616	1	1.247807E-001	1.82	3.485640E-009	0.27	1.859875E-002	0.25
104	0	585.0	2.616	2	1.247731E-001	1.82	3.485206E-009	0.27	1.859779E-002	0.25
105	0	587.5	2.588	0	1.290436E-001	1.82	3.600756E-009	0.27	1.921957E-002	0.25
106	0	587.5	2.588	1	1.289993E-001	1.82	3.598398E-009	0.27	1.920894E-002	0.25
107	0	587.5	2.588	2	1.290584E-001	1.82	3.598712E-009	0.27	1.920612E-002	0.25
108	0	590.0	2.556	0	1.348913E-001	1.82	3.754503E-009	0.27	2.002592E-002	0.25
109	0	590.0	2.556	1	1.348623E-001	1.82	3.754937E-009	0.27	2.003746E-002	0.25
110	0	590.0	2.556	2	1.348623E-001	1.82	3.752628E-009	0.27	2.001481E-002	0.25
111	0	592.5	2.522	0	1.372826E-001	1.82	3.815727E-009	0.27	2.031363E-002	0.25
112	0	592.5	2.522	1	1.372602E-001	1.82	3.817521E-009	0.27	2.032433E-002	0.25
113	0	592.5	2.522	2	1.372979E-001	1.82	3.816763E-009	0.27	2.031514E-002	0.25
114	0	595.0	2.484	0	1.372826E-001	1.82	3.813095E-009	0.27	2.023546E-002	0.25
115	0	595.0	2.484	1	1.372826E-001	1.82	3.813169E-009	0.27	2.023690E-002	0.25
116	0	595.0	2.484	2	1.372526E-001	1.82	3.813529E-009	0.27	2.023962E-002	0.25
117	0	597.5	2.444	0	1.435885E-001	1.82	3.984325E-009	0.27	2.111446E-002	0.25
118	0	597.5	2.444	1	1.435885E-001	1.82	3.983207E-009	0.27	2.110517E-002	0.25
119	0	597.5	2.444	2	1.436476E-001	1.82	3.984204E-009	0.27	2.110932E-002	0.25
120	0	600.0	2.400	0	1.579262E-001	1.82	4.372198E-009	0.27	2.313933E-002	0.25
121	0	600.0	2.400	1	1.579339E-001	1.82	4.371320E-009	0.27	2.313430E-002	0.25
