External Quantum Efficiency	v1.4.7137.26188
Date Time:	Sunday, 05 June 2022 17:51:47
Dimensions:	4
TotalSteps:	3390
SourceFile 	D:\users\nanoscalesolar\Documents\Eitan\Cal.eqe
Sample:    	?
Operator:  	Nanoscalesolar
Comments:  	

Loops:
>	Repeat 10 times
>	Wavelength from 500.0 to 780.0 [nm] in 113 steps
>	Focus Correction [no-loop]
>	Repeat 3 times

Operations:
>	Delay [100 ms]
>	LockIn Sensitivity Tracker
>	LockIn Amplifier : M
>	LockIn Amplifier : IS
>	LockIn Amplifier : R

Parameters:
>	Repeat	x	0	10	R	{From=0,To=9}
>	Wavelength	nm	1	113	R	{From=500,To=780}
>	Focus CorrectionY	µm	3	1	V	0
>	Repeat	x	0	3	R	{From=0,To=2}

Results:
>	M	V	-1
>	Phase	'	2
>	IS	A	-1
>	Phase	'	2
>	R	V	-1
>	Phase	'	2

-= Wavelength - AOTF VIS =-
Channels:     	8
Range:        	370 - 800 nm
AutoOptPower: 	ON
Modulation:   	ON
Ch:0	Wavelength: 500.0 nm	Frequency: 126.775 MHz	Power: 5000

-= Focus Correction =-
Piezo X:     	OFF
Piezo Y:     	ON 'NewNKT_Focus_corr'
Piezo Z:     	OFF

-= LockIn Sensitivity Tracker =-
Active: 	LIA I, LIA II, LIA III

-= LockIn Amplifier - LIA I =-
OutputParameter:      	M
Sensitivity:          	500 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.98
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA III =-
OutputParameter:      	IS
Sensitivity:          	10 nA
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.982
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	I (1MΩ)
InputShieldGrounding: 	Floating

-= LockIn Amplifier - LIA II =-
OutputParameter:      	R
Sensitivity:          	50 mV
FilterTimeConstant:   	30 ms
FilterSlope:          	_24dBpOct
ReferenceFrequency:   	70.9782
DetectionHarmonic:    	1
InputCoupling:        	AC
InputModes:           	Channel A
InputShieldGrounding: 	Floating


Index	Repeat [x]	Wavelength [nm]	Focus CorrectionY [µm]	Repeat [x]	M [V]	Phase [']	IS [A]	Phase [']	R [V]	Phase [']
639	1	750.0	-0.600	0	1.935292E-001	1.82	4.798799E-009	0.27	1.906644E-002	0.25
640	1	750.0	-0.600	1	1.934549E-001	1.82	4.798404E-009	0.27	1.906644E-002	0.25
641	1	750.0	-0.600	2	1.934702E-001	1.82	4.801036E-009	0.27	1.908221E-002	0.25
642	1	752.5	-0.638	0	1.850911E-001	1.82	4.595394E-009	0.27	1.810607E-002	0.25
643	1	752.5	-0.638	1	1.850911E-001	1.82	4.595394E-009	0.27	1.810511E-002	0.25
644	1	752.5	-0.638	2	1.850321E-001	1.82	4.595635E-009	0.27	1.810607E-002	0.25
645	1	755.0	-0.678	0	1.793911E-001	1.82	4.445985E-009	0.27	1.737509E-002	0.25
646	1	755.0	-0.678	1	1.792730E-001	1.82	4.444867E-009	0.27	1.737605E-002	0.25
647	1	755.0	-0.678	2	1.792730E-001	1.82	4.443352E-009	0.27	1.736773E-002	0.25
648	1	757.5	-0.719	0	1.673556E-001	1.82	4.132648E-009	0.27	1.601223E-002	0.25
649	1	757.5	-0.719	1	1.674299E-001	1.82	4.132012E-009	0.27	1.601127E-002	0.25
650	1	757.5	-0.719	2	1.674147E-001	1.82	4.131144E-009	0.27	1.600759E-002	0.25
651	1	760.0	-0.761	0	1.514121E-001	1.82	3.718480E-009	0.27	1.426631E-002	0.25
652	1	760.0	-0.761	1	1.513531E-001	1.82	3.712347E-009	0.27	1.423951E-002	0.25
653	1	760.0	-0.761	2	1.513531E-001	1.82	3.714093E-009	0.27	1.424959E-002	0.25
654	1	762.5	-0.804	0	1.346550E-001	1.82	3.292201E-009	0.27	1.249727E-002	0.25
655	1	762.5	-0.804	1	1.346550E-001	1.82	3.292201E-009	0.27	1.249632E-002	0.25
656	1	762.5	-0.804	2	1.347141E-001	1.82	3.291323E-009	0.27	1.249158E-002	0.25
657	1	765.0	-0.848	0	1.168166E-001	1.82	2.834179E-009	0.27	1.063927E-002	0.25
658	1	765.0	-0.848	1	1.166089E-001	1.82	2.830824E-009	0.27	1.063191E-002	0.25
659	1	765.0	-0.848	2	1.166089E-001	1.82	2.831305E-009	0.27	1.063559E-002	0.25
660	1	767.5	-0.893	0	1.036998E-001	1.82	2.505606E-009	0.27	9.331023E-003	0.25
661	1	767.5	-0.893	1	1.036998E-001	1.82	2.505606E-009	0.27	9.335200E-003	0.25
662	1	767.5	-0.893	2	1.036998E-001	1.82	2.505606E-009	0.27	9.333351E-003	0.25
663	1	770.0	-0.938	0	8.793401E-002	1.82	2.115303E-009	0.27	7.820106E-003	0.25
664	1	770.0	-0.938	1	8.793401E-002	1.82	2.114185E-009	0.27	7.817778E-003	0.25
665	1	770.0	-0.938	2	8.793401E-002	1.82	2.114425E-009	0.27	7.819628E-003	0.25
666	1	772.5	-0.985	0	7.976982E-002	1.82	1.914520E-009	0.27	7.013266E-003	0.25
667	1	772.5	-0.985	1	7.976982E-002	1.82	1.914399E-009	0.27	7.011895E-003	0.25
668	1	772.5	-0.985	2	7.976982E-002	1.82	1.914520E-009	0.27	7.013744E-003	0.25
669	1	775.0	-1.031	0	7.469202E-002	1.82	1.786214E-009	0.27	6.483576E-003	0.25
670	1	775.0	-1.031	1	7.469202E-002	1.82	1.785900E-009	0.27	6.483576E-003	0.25
671	1	775.0	-1.031	2	7.469202E-002	1.82	1.787212E-009	0.27	6.487274E-003	0.25
672	1	777.5	-1.078	0	6.737906E-002	1.82	1.601866E-009	0.27	5.756340E-003	0.25
673	1	777.5	-1.078	1	6.728275E-002	1.82	1.601625E-009	0.27	5.756340E-003	0.25
674	1	777.5	-1.078	2	6.728275E-002	1.82	1.599316E-009	0.27	5.746635E-003	0.25
675	1	780.0	-1.126	0	6.737906E-002	1.82	1.588950E-009	0.27	5.663346E-003	0.25
676	1	780.0	-1.126	1	6.737906E-002	1.82	1.590502E-009	0.27	5.663346E-003	0.25
677	1	780.0	-1.126	2	6.737146E-002	1.82	1.589828E-009	0.27	5.663824E-003	0.25
678	2	500.0	2.400	0	1.684387E-003	1.82	2.884405E-011	0.26	1.364292E-004	0.25
679	2	500.0	2.400	1	1.682288E-003	1.82	2.873790E-011	0.27	1.360426E-004	0.26
680	2	500.0	2.400	2	1.693489E-003	1.82	2.903339E-011	0.27	1.369618E-004	0.25
681	2	502.5	2.447	0	2.726373E-003	1.82	4.900715E-011	0.26	2.360615E-004	0.25
682	2	502.5	2.447	1	2.720254E-003	1.82	4.892793E-011	0.27	2.349951E-004	0.25
683	2	502.5	2.447	2	2.724208E-003	1.82	4.890659E-011	0.27	2.355721E-004	0.25
684	2	505.0	2.472	0	4.453739E-003	1.82	8.373762E-011	0.26	4.084333E-004	0.25
685	2	505.0	2.472	1	4.444931E-003	1.82	8.405530E-011	0.28	4.085882E-004	0.26
686	2	505.0	2.472	2	4.460672E-003	1.82	8.409231E-011	0.27	4.090746E-004	0.25
687	2	507.5	2.479	0	6.778181E-003	1.82	1.332760E-010	0.27	6.553149E-004	0.25
688	2	507.5	2.479	1	6.783401E-003	1.82	1.332633E-010	0.27	6.543662E-004	0.25
689	2	507.5	2.479	2	6.771658E-003	1.82	1.326676E-010	0.27	6.529324E-004	0.25
690	2	510.0	2.472	0	9.303790E-003	1.82	1.899012E-010	0.27	9.415034E-004	0.25
691	2	510.0	2.472	1	9.310296E-003	1.82	1.893976E-010	0.27	9.405651E-004	0.25
692	2	510.0	2.472	2	9.292273E-003	1.82	1.897189E-010	0.27	9.408732E-004	0.25
693	2	512.5	2.456	0	1.294322E-002	1.82	2.726135E-010	0.27	1.369793E-003	0.25
694	2	512.5	2.456	1	1.296732E-002	1.82	2.728979E-010	0.27	1.370457E-003	0.25
695	2	512.5	2.456	2	1.296494E-002	1.82	2.728584E-010	0.27	1.369774E-003	0.25
696	2	515.0	2.436	0	1.919420E-002	1.82	4.177519E-010	0.27	2.115141E-003	0.25
697	2	515.0	2.436	1	1.918240E-002	1.82	4.172198E-010	0.27	2.113195E-003	0.25
698	2	515.0	2.436	2	1.916262E-002	1.82	4.166684E-010	0.27	2.112865E-003	0.25
699	2	517.5	2.416	0	2.937980E-002	1.82	6.625881E-010	0.27	3.372224E-003	0.25
700	2	517.5	2.416	1	2.943157E-002	1.82	6.626937E-010	0.27	3.373831E-003	0.25
701	2	517.5	2.416	2	2.943557E-002	1.82	6.633344E-010	0.27	3.377104E-003	0.25
702	2	520.0	2.400	0	4.647251E-002	1.82	1.080233E-009	0.27	5.526340E-003	0.25
703	2	520.0	2.400	1	4.647456E-002	1.82	1.080947E-009	0.27	5.529709E-003	0.25
704	2	520.0	2.400	2	4.644856E-002	1.82	1.080266E-009	0.27	5.527418E-003	0.25
705	2	522.5	2.393	0	7.843610E-002	1.82	1.879764E-009	0.27	9.649550E-003	0.25
706	2	522.5	2.393	1	7.844466E-002	1.82	1.878586E-009	0.27	9.644179E-003	0.25
707	2	522.5	2.393	2	7.848001E-002	1.82	1.879501E-009	0.27	9.650506E-003	0.25
708	2	525.0	2.400	0	1.299668E-001	1.82	3.208883E-009	0.27	1.650498E-002	0.25
709	2	525.0	2.400	1	1.299715E-001	1.82	3.207157E-009	0.27	1.649009E-002	0.25
710	2	525.0	2.400	2	1.300539E-001	1.82	3.209206E-009	0.27	1.649465E-002	0.25
711	2	527.5	2.419	0	1.895912E-001	1.82	4.788472E-009	0.27	2.468677E-002	0.25
712	2	527.5	2.419	1	1.896879E-001	1.82	4.792262E-009	0.27	2.470725E-002	0.25
713	2	527.5	2.419	2	1.895607E-001	1.82	4.791346E-009	0.27	2.470251E-002	0.25
714	2	530.0	2.446	0	2.302711E-001	1.82	5.927919E-009	0.27	3.061854E-002	0.25
715	2	530.0	2.446	1	2.302268E-001	1.82	5.925369E-009	0.27	3.060133E-002	0.25
716	2	530.0	2.446	2	2.300725E-001	1.82	5.917433E-009	0.27	3.056901E-002	0.25
717	2	532.5	2.477	0	2.248393E-001	1.82	5.889120E-009	0.27	3.045397E-002	0.25
718	2	532.5	2.477	1	2.249708E-001	1.82	5.895727E-009	0.27	3.049910E-002	0.25
719	2	532.5	2.477	2	2.249860E-001	1.82	5.896765E-009	0.27	3.049180E-002	0.25
720	2	535.0	2.513	0	1.941504E-001	1.82	5.169004E-009	0.27	2.675021E-002	0.25
721	2	535.0	2.513	1	1.940318E-001	1.82	5.165657E-009	0.27	2.674638E-002	0.25
722	2	535.0	2.513	2	1.941061E-001	1.82	5.171082E-009	0.27	2.677230E-002	0.25
723	2	537.5	2.550	0	1.713603E-001	1.82	4.632043E-009	0.27	2.402257E-002	0.25
724	2	537.5	2.550	1	1.714194E-001	1.82	4.638427E-009	0.27	2.407010E-002	0.25
725	2	537.5	2.550	2	1.714194E-001	1.82	4.636913E-009	0.27	2.405857E-002	0.25
726	2	540.0	2.587	0	1.613526E-001	1.82	4.427040E-009	0.27	2.296589E-002	0.25
727	2	540.0	2.587	1	1.611754E-001	1.82	4.421495E-009	0.27	2.293758E-002	0.25
728	2	540.0	2.587	2	1.611530E-001	1.82	4.422458E-009	0.27	2.294829E-002	0.25
729	2	542.5	2.623	0	1.560828E-001	1.82	4.332036E-009	0.27	2.247732E-002	0.25
730	2	542.5	2.623	1	1.560165E-001	1.82	4.330201E-009	0.27	2.246755E-002	0.25
731	2	542.5	2.623	2	1.560532E-001	1.82	4.331319E-009	0.27	2.247778E-002	0.25
732	2	545.0	2.654	0	1.477557E-001	1.82	4.126072E-009	0.27	2.145575E-002	0.25
733	2	545.0	2.654	1	1.477038E-001	1.82	4.126634E-009	0.27	2.146927E-002	0.25
734	2	545.0	2.654	2	1.477266E-001	1.82	4.127393E-009	0.27	2.146423E-002	0.25
735	2	547.5	2.681	0	1.380738E-001	1.82	3.853930E-009	0.27	2.014953E-002	0.25
736	2	547.5	2.681	1	1.379857E-001	1.82	3.852258E-009	0.27	2.014578E-002	0.25
737	2	547.5	2.681	2	1.380600E-001	1.82	3.855807E-009	0.27	2.015825E-002	0.25
738	2	550.0	2.700	0	1.306137E-001	1.82	3.649286E-009	0.27	1.916173E-002	0.25
739	2	550.0	2.700	1	1.305684E-001	1.82	3.647252E-009	0.27	1.915005E-002	0.25
740	2	550.0	2.700	2	1.305984E-001	1.82	3.649368E-009	0.27	1.916269E-002	0.25
741	2	552.5	2.714	0	1.265423E-001	1.82	3.544474E-009	0.27	1.866258E-002	0.25
742	2	552.5	2.714	1	1.265347E-001	1.82	3.543919E-009	0.27	1.866402E-002	0.25
743	2	552.5	2.714	2	1.264456E-001	1.82	3.543317E-009	0.27	1.866659E-002	0.25
744	2	555.0	2.724	0	1.258016E-001	1.82	3.536490E-009	0.27	1.866019E-002	0.25
745	2	555.0	2.724	1	1.257730E-001	1.82	3.534108E-009	0.27	1.865563E-002	0.25
746	2	555.0	2.724	2	1.257425E-001	1.82	3.535058E-009	0.27	1.865699E-002	0.25
747	2	557.5	2.732	0	1.277041E-001	1.82	3.612949E-009	0.27	1.905069E-002	0.25
748	2	557.5	2.732	1	1.277484E-001	1.82	3.613552E-009	0.27	1.904989E-002	0.25
749	2	557.5	2.732	2	1.277999E-001	1.82	3.617264E-009	0.27	1.907989E-002	0.25
750	2	560.0	2.736	0	1.343959E-001	1.82	3.856803E-009	0.27	2.021369E-002	0.25
751	2	560.0	2.736	1	1.343216E-001	1.82	3.854688E-009	0.27	2.020218E-002	0.25
752	2	560.0	2.736	2	1.343507E-001	1.82	3.855373E-009	0.27	2.020593E-002	0.25
753	2	562.5	2.738	0	1.517603E-001	1.82	4.432823E-009	0.27	2.301076E-002	0.25
754	2	562.5	2.738	1	1.517013E-001	1.82	4.433509E-009	0.27	2.301492E-002	0.25
755	2	562.5	2.738	2	1.516937E-001	1.82	4.432148E-009	0.27	2.300573E-002	0.25
756	2	565.0	2.736	0	1.705315E-001	1.82	5.020594E-009	0.27	2.592937E-002	0.25
757	2	565.0	2.736	1	1.705091E-001	1.82	5.019524E-009	0.27	2.592705E-002	0.25
758	2	565.0	2.736	2	1.704648E-001	1.82	5.020038E-009	0.27	2.592698E-002	0.25
759	2	567.5	2.732	0	1.591171E-001	1.82	4.608270E-009	0.27	2.400489E-002	0.25
760	2	567.5	2.732	1	1.590366E-001	1.82	4.607441E-009	0.27	2.399569E-002	0.25
761	2	567.5	2.732	2	1.590066E-001	1.82	4.605760E-009	0.27	2.398778E-002	0.25
762	2	570.0	2.724	0	1.382220E-001	1.82	3.926054E-009	0.27	2.071108E-002	0.25
763	2	570.0	2.724	1	1.381253E-001	1.82	3.924624E-009	0.27	2.070595E-002	0.25
764	2	570.0	2.724	2	1.381405E-001	1.82	3.923663E-009	0.27	2.070547E-002	0.25
765	2	572.5	2.714	0	1.285920E-001	1.82	3.615509E-009	0.27	1.922237E-002	0.25
766	2	572.5	2.714	1	1.285330E-001	1.82	3.617061E-009	0.27	1.923204E-002	0.25
767	2	572.5	2.714	2	1.284663E-001	1.82	3.614632E-009	0.27	1.921597E-002	0.25
768	2	575.0	2.700	0	1.258092E-001	1.82	3.525367E-009	0.27	1.881851E-002	0.25
769	2	575.0	2.700	1	1.258245E-001	1.82	3.522735E-009	0.27	1.880892E-002	0.25
770	2	575.0	2.700	2	1.259349E-001	1.82	3.527556E-009	0.27	1.882955E-002	0.25
771	2	577.5	2.684	0	1.258973E-001	1.82	3.516949E-009	0.27	1.880554E-002	0.25
772	2	577.5	2.684	1	1.259273E-001	1.82	3.518260E-009	0.27	1.881012E-002	0.25
773	2	577.5	2.684	2	1.259049E-001	1.82	3.517191E-009	0.27	1.881068E-002	0.25
774	2	580.0	2.664	0	1.259049E-001	1.82	3.513005E-009	0.27	1.876987E-002	0.25
775	2	580.0	2.664	1	1.258759E-001	1.82	3.511009E-009	0.27	1.875611E-002	0.25
776	2	580.0	2.664	2	1.258759E-001	1.82	3.512007E-009	0.27	1.876707E-002	0.25
777	2	582.5	2.642	0	1.247807E-001	1.82	3.482130E-009	0.27	1.857794E-002	0.25
778	2	582.5	2.642	1	1.247217E-001	1.82	3.479580E-009	0.27	1.855985E-002	0.25
779	2	582.5	2.642	2	1.246840E-001	1.82	3.479580E-009	0.27	1.856363E-002	0.25
780	2	585.0	2.616	0	1.247431E-001	1.82	3.482453E-009	0.27	1.856731E-002	0.25
781	2	585.0	2.616	1	1.248174E-001	1.82	3.484006E-009	0.27	1.857706E-002	0.25
782	2	585.0	2.616	2	1.248022E-001	1.82	3.484208E-009	0.27	1.857603E-002	0.25
783	2	587.5	2.588	0	1.291098E-001	1.82	3.601899E-009	0.27	1.920516E-002	0.25
784	2	587.5	2.588	1	1.290660E-001	1.82	3.599951E-009	0.27	1.919781E-002	0.25
785	2	587.5	2.588	2	1.290584E-001	1.82	3.599276E-009	0.27	1.919093E-002	0.25
786	2	590.0	2.556	0	1.348170E-001	1.82	3.753819E-009	0.27	2.001537E-002	0.25
787	2	590.0	2.556	1	1.348623E-001	1.82	3.754060E-009	0.27	2.001305E-002	0.25
788	2	590.0	2.556	2	1.348623E-001	1.82	3.755058E-009	0.27	2.001809E-002	0.25
789	2	592.5	2.522	0	1.372826E-001	1.82	3.816476E-009	0.27	2.029738E-002	0.25
790	2	592.5	2.522	1	1.372750E-001	1.82	3.817039E-009	0.27	2.029562E-002	0.25
791	2	592.5	2.522	2	1.372526E-001	1.82	3.817078E-009	0.27	2.030537E-002	0.25
792	2	595.0	2.484	0	1.372450E-001	1.82	3.812652E-009	0.27	2.021745E-002	0.25
793	2	595.0	2.484	1	1.372526E-001	1.82	3.811099E-009	0.27	2.021561E-002	0.25
794	2	595.0	2.484	2	1.372150E-001	1.82	3.809418E-009	0.27	2.020450E-002	0.25
795	2	597.5	2.444	0	1.435885E-001	1.82	3.979899E-009	0.27	2.107325E-002	0.25
796	2	597.5	2.444	1	1.435885E-001	1.82	3.980462E-009	0.27	2.107469E-002	0.25
797	2	597.5	2.444	2	1.435809E-001	1.82	3.980979E-009	0.27	2.107877E-002	0.25
798	2	600.0	2.400	0	1.577404E-001	1.82	4.369010E-009	0.27	2.311157E-002	0.25
799	2	600.0	2.400	1	1.579339E-001	1.82	4.373436E-009	0.27	2.313430E-002	0.25
800	2	600.0	2.400	2	1.578962E-001	1.82	4.370009E-009	0.27	2.311341E-002	0.25
801	2	602.5	2.352	0	1.730628E-001	1.82	4.780054E-009	0.27	2.522247E-002	0.25
802	2	602.5	2.352	1	1.731066E-001	1.82	4.781487E-009	0.27	2.523263E-002	0.25
803	2	602.5	2.352	2	1.730918E-001	1.82	4.781847E-009	0.27	2.523406E-002	0.25
804	2	605.0	2.299	0	1.864816E-001	1.82	5.154606E-009	0.27	2.709056E-002	0.25
805	2	605.0	2.299	1	1.867117E-001	1.82	5.155645E-009	0.27	2.708830E-002	0.25
806	2	605.0	2.299	2	1.866598E-001	1.82	5.154921E-009	0.27	2.708958E-002	0.25
807	2	607.5	2.242	0	2.045648E-001	1.82	5.693874E-009	0.27	2.968530E-002	0.25
808	2	607.5	2.242	1	2.046392E-001	1.82	5.697111E-009	0.27	2.970162E-002	0.25
809	2	607.5	2.242	2	2.046239E-001	1.82	5.696025E-009	0.27	2.968618E-002	0.25
810	2	610.0	2.182	0	2.383019E-001	1.82	6.749212E-009	0.27	3.472755E-002	0.25
811	2	610.0	2.182	1	2.383834E-001	1.82	6.751520E-009	0.27	3.473315E-002	0.25
812	2	610.0	2.182	2	2.383896E-001	1.82	6.754467E-009	0.27	3.475249E-002	0.25
813	2	612.5	2.119	0	2.451190E-001	1.82	6.879705E-009	0.27	3.534284E-002	0.25
814	2	612.5	2.119	1	2.451266E-001	1.82	6.885333E-009	0.27	3.538949E-002	0.25
815	2	612.5	2.119	2	2.451266E-001	1.82	6.886057E-009	0.27	3.539292E-002	0.25
816	2	615.0	2.054	0	2.212328E-001	1.82	6.086053E-009	0.27	3.164123E-002	0.25
817	2	615.0	2.054	1	2.211738E-001	1.82	6.082987E-009	0.27	3.161914E-002	0.25
818	2	615.0	2.054	2	2.212114E-001	1.82	6.083228E-009	0.27	3.162194E-002	0.25
819	2	617.5	1.989	0	2.148164E-001	1.82	5.862665E-009	0.27	3.055838E-002	0.25
820	2	617.5	1.989	1	2.148012E-001	1.82	5.860990E-009	0.27	3.055470E-002	0.25
821	2	617.5	1.989	2	2.148378E-001	1.82	5.861787E-009	0.27	3.055654E-002	0.25
822	2	620.0	1.925	0	2.167327E-001	1.82	5.888035E-009	0.27	3.062629E-002	0.25
823	2	620.0	1.925	1	2.167994E-001	1.82	5.890270E-009	0.27	3.063198E-002	0.25
824	2	620.0	1.925	2	2.167327E-001	1.82	5.891462E-009	0.27	3.065133E-002	0.25
825	2	622.5	1.861	0	2.192712E-001	1.82	5.938448E-009	0.27	3.081558E-002	0.25
826	2	622.5	1.861	1	2.194046E-001	1.82	5.942874E-009	0.27	3.083039E-002	0.25
827	2	622.5	1.861	2	2.193012E-001	1.82	5.936333E-009	0.27	3.080031E-002	0.25
828	2	625.0	1.800	0	2.268886E-001	1.82	6.129450E-009	0.27	3.176947E-002	0.25
829	2	625.0	1.800	1	2.269476E-001	1.82	6.130407E-009	0.27	3.177723E-002	0.25
830	2	625.0	1.800	2	2.269776E-001	1.82	6.134197E-009	0.27	3.179587E-002	0.25
831	2	627.5	1.740	0	2.390198E-001	1.82	6.449041E-009	0.27	3.340452E-002	0.25
832	2	627.5	1.740	1	2.390936E-001	1.82	6.450915E-009	0.27	3.341469E-002	0.25
833	2	627.5	1.740	2	2.390865E-001	1.82	6.448848E-009	0.27	3.339676E-002	0.25
834	2	630.0	1.680	0	2.538315E-001	1.82	6.837839E-009	0.27	3.536740E-002	0.25
835	2	630.0	1.680	1	2.537939E-001	1.82	6.835997E-009	0.27	3.534805E-002	0.25
836	2	630.0	1.680	2	2.537424E-001	1.82	6.837204E-009	0.27	3.533964E-002	0.25
837	2	632.5	1.620	0	2.667849E-001	1.82	7.179966E-009	0.27	3.704956E-002	0.25
838	2	632.5	1.620	1	2.667921E-001	1.82	7.177439E-009	0.27	3.702724E-002	0.25
839	2	632.5	1.620	2	2.667773E-001	1.82	7.177802E-009	0.27	3.703227E-002	0.25
840	2	635.0	1.560	0	2.770361E-001	1.82	7.434735E-009	0.27	3.826890E-002	0.25
841	2	635.0	1.560	1	2.769922E-001	1.82	7.432032E-009	0.27	3.825145E-002	0.25
842	2	635.0	1.560	2	2.769622E-001	1.82	7.434543E-009	0.27	3.826576E-002	0.25
843	2	637.5	1.500	0	2.830100E-001	1.82	7.563920E-009	0.27	3.886068E-002	0.25
844	2	637.5	1.500	1	2.830100E-001	1.82	7.565038E-009	0.27	3.887179E-002	0.25
845	2	637.5	1.500	2	2.830614E-001	1.82	7.565916E-009	0.27	3.887124E-002	0.25
846	2	640.0	1.440	0	2.883389E-001	1.82	7.676474E-009	0.27	3.937966E-002	0.25
847	2	640.0	1.440	1	2.882570E-001	1.82	7.675680E-009	0.27	3.936807E-002	0.25
848	2	640.0	1.440	2	2.882584E-001	1.82	7.674083E-009	0.27	3.936029E-002	0.25
849	2	642.5	1.380	0	2.969771E-001	1.82	7.895507E-009	0.27	4.042834E-002	0.25
850	2	642.5	1.380	1	2.969180E-001	1.82	7.892271E-009	0.27	4.040617E-002	0.25
851	2	642.5	1.380	2	2.970361E-001	1.82	7.891200E-009	0.27	4.040347E-002	0.25
852	2	645.0	1.320	0	3.128753E-001	1.82	8.290124E-009	0.27	4.239645E-002	0.25
853	2	645.0	1.320	1	3.128691E-001	1.82	8.287974E-009	0.27	4.238899E-002	0.25
854	2	645.0	1.320	2	3.134536E-001	1.82	8.300248E-009	0.27	4.244722E-002	0.25
855	2	647.5	1.260	0	3.340896E-001	1.82	8.814988E-009	0.27	4.496204E-002	0.25
856	2	647.5	1.260	1	3.339791E-001	1.82	8.812365E-009	0.27	4.495199E-002	0.25
857	2	647.5	1.260	2	3.339867E-001	1.82	8.813725E-009	0.27	4.495758E-002	0.25
858	2	650.0	1.200	0	3.546742E-001	1.82	9.304846E-009	0.27	4.733344E-002	0.25
859	2	650.0	1.200	1	3.546303E-001	1.82	9.307325E-009	0.27	4.735567E-002	0.25
860	2	650.0	1.200	2	3.546365E-001	1.82	9.305483E-009	0.27	4.733072E-002	0.25
861	2	652.5	1.140	0	3.693367E-001	1.82	9.635176E-009	0.27	4.888888E-002	0.25
862	2	652.5	1.140	1	3.694182E-001	1.82	9.644026E-009	0.27	4.893789E-002	0.25
863	2	652.5	1.140	2	3.694106E-001	1.82	9.643064E-009	0.27	4.893134E-002	0.25
864	2	655.0	1.080	0	3.816828E-001	1.82	9.923134E-009	0.27	5.022291E-002	0.25
865	2	655.0	1.080	1	3.816675E-001	1.82	9.926798E-009	0.27	5.024140E-002	0.25
866	2	655.0	1.080	2	3.816980E-001	1.82	9.928881E-009	0.27	5.026005E-002	0.25
867	2	657.5	1.020	0	3.893663E-001	1.82	1.011490E-008	0.27	5.106777E-002	0.25
868	2	657.5	1.020	1	3.892996E-001	1.82	1.011067E-008	0.27	5.105102E-002	0.25
869	2	657.5	1.020	2	3.893001E-001	1.82	1.010867E-008	0.27	5.102600E-002	0.25
870	2	660.0	0.960	0	3.957313E-001	1.82	1.027035E-008	0.27	5.174307E-002	0.25
871	2	660.0	0.960	1	3.956280E-001	1.82	1.026821E-008	0.27	5.172170E-002	0.25
872	2	660.0	0.960	2	3.957099E-001	1.82	1.026846E-008	0.27	5.172186E-002	0.25
873	2	662.5	0.900	0	3.975229E-001	1.82	1.031296E-008	0.27	5.188186E-002	0.25
874	2	662.5	0.900	1	3.974124E-001	1.82	1.031057E-008	0.27	5.186347E-002	0.25
875	2	662.5	0.900	2	3.974929E-001	1.82	1.030984E-008	0.27	5.185874E-002	0.25
876	2	665.0	0.840	0	3.999499E-001	1.82	1.034606E-008	0.27	5.200052E-002	0.25
877	2	665.0	0.840	1	4.000466E-001	1.82	1.034805E-008	0.27	5.201043E-002	0.25
878	2	665.0	0.840	2	3.999952E-001	1.82	1.034630E-008	0.27	5.200038E-002	0.25
879	2	667.5	0.780	0	3.950649E-001	1.82	1.017703E-008	0.27	5.106409E-002	0.25
880	2	667.5	0.780	1	3.951983E-001	1.82	1.018190E-008	0.27	5.110288E-002	0.25
881	2	667.5	0.780	2	3.950802E-001	1.82	1.018166E-008	0.27	5.109280E-002	0.25
882	2	670.0	0.720	0	3.955994E-001	1.82	1.014904E-008	0.27	5.076895E-002	0.25
883	2	670.0	0.720	1	3.955098E-001	1.82	1.013843E-008	0.27	5.071424E-002	0.25
884	2	670.0	0.720	2	3.954651E-001	1.82	1.014353E-008	0.27	5.073463E-002	0.25
885	2	672.5	0.660	0	3.951392E-001	1.82	1.007708E-008	0.27	5.015269E-002	0.25
886	2	672.5	0.660	1	3.951392E-001	1.82	1.008283E-008	0.27	5.019802E-002	0.25
887	2	672.5	0.660	2	3.951983E-001	1.82	1.008745E-008	0.27	5.022484E-002	0.25
888	2	675.0	0.600	0	3.957766E-001	1.82	1.005395E-008	0.27	4.982426E-002	0.25
889	2	675.0	0.600	1	3.956280E-001	1.82	1.004996E-008	0.27	4.980668E-002	0.25
890	2	675.0	0.600	2	3.956432E-001	1.82	1.004820E-008	0.27	4.979457E-002	0.25
891	2	677.5	0.539	0	3.979821E-001	1.82	1.006982E-008	0.27	4.974652E-002	0.25
892	2	677.5	0.539	1	3.980259E-001	1.82	1.006958E-008	0.27	4.975210E-002	0.25
893	2	677.5	0.539	2	3.981593E-001	1.82	1.007382E-008	0.27	4.977331E-002	0.25
